basområde,tid,PCA_Faktor_1,PCA_Faktor_2,PCA_Faktor_3
Ljungsbro norra,2020,-2.862,0.684,-0.637
Ljungsbro norra glesbygd,2020,-1.446,0.433,0.667
Ljungsbro södra glesbygd,2020,-1.349,0.606,0.587
Majelden västra,2020,6.3,0.207,0.849
Majelden östra,2020,2.875,-0.665,-0.31
Malmslätt östra glesbygd,2020,-1.156,0.476,1.082
Manstorp,2020,-1.265,0.192,-0.444
Mariedal,2020,-0.808,0.239,0.58
Maspelösa,2020,-2.072,0.856,-1.001
Munkgärdet,2020,2.165,-1.483,-0.511
Munkhagen,2020,1.397,-1.417,2.47
Möjetorp,2020,-2.465,0.172,-0.46
Nedre Ullstämma,2020,-0.924,0.975,0.025
Nedre Vasastaden,2020,1.747,-2.218,0.246
Norrberga,2020,-1.135,-0.969,-1.103
Nygård,2020,7.687,2.175,0.222
Nykil,2020,-0.944,-0.453,0.171
Nykil norra glesbygd,2020,-1.45,0.109,0.296
Nykil södra glesbygd,2020,-1.262,0.386,0.407
Näsby,2020,-4.913,1.335,-2.248
Rappestad,2020,-2.794,0.851,0.424
Rappestad glesbygd,2020,-2.179,1.178,0.718
Ringstorp,2020,-0.991,1.836,0.685
Risbrinken,2020,1.811,-2.328,0.467
Rosendal,2020,11.871,6.395,-0.819
Roxenbaden,2020,-1.511,-0.574,0.436
Roxtuna,2020,-1.777,0.451,-0.33
Rystads kyrkby,2020,-0.879,0.034,0.603
Råberga,2020,2.798,-0.497,-1.022
Sjögestad,2020,-1.086,1.014,-0.221
Sjögestad glesbygd,2020,-0.794,0.319,0.15
Skarpan,2020,1.896,-1.034,0.158
Skeda Udde,2020,-2.748,0.397,-0.263
Skeda kyrkby,2020,-1.504,0.724,0.334
Skeda norra glesbygd,2020,-1.916,0.457,0.023
Skeda södra glesbygd,2020,-2.239,0.664,-0.226
Skogsvallen,2020,-1.22,-1.724,-1.162
Skonberga,2020,-3.365,0.236,-0.9
Slaka glesbygd,2020,-1.583,0.927,0.487
Slaka västra,2020,-3.542,0.963,-1.507
Slaka östra,2020,-3.221,0.725,-1.223
Slestad,2020,1.954,0.444,-0.75
Slycke,2020,-2.256,1.175,0.913
Sockenmarken,2020,-0.659,0.624,0.308
Solhaga,2020,5.771,-0.507,-0.711
Steninge,2020,2.273,-2.365,-1.954
Stensätter,2020,-3.147,1.046,-1.978
Stolplyckan,2020,3.564,-0.64,-0.059
Sturefors glesbygd,2020,-2.271,0.152,-0.117
Sturefors norra,2020,-1.533,0.271,0.47
Sturefors södra,2020,-3.015,0.81,-0.839
Stångebro östra,2020,20.666,9.169,-5.463
Svartmåla-Unön,2020,-1.714,-0.201,0.747
Sätra,2020,-1.298,-0.093,0.818
Sättuna,2020,-3.267,1.606,-0.779
Sågareholmen,2020,-1.099,-1.569,-1.108
Södra Ekkällan,2020,0.835,-2.478,-1.717
Sörgården,2020,10.782,4.279,-1.173
T 1 norra,2020,2.182,-2.285,-0.788
T 1 södra,2020,-0.731,-0.155,-0.953
Tallboda glesbygd,2020,-1.801,0.321,-0.246
Tallboda norra,2020,-1.69,1.018,-0.314
Tallboda södra,2020,-0.371,0.646,-0.142
Tinneröhöjden,2020,-0.366,-1.957,-0.349
Tokarp,2020,-1.922,0.718,0.02
Tornhagen,2020,0.572,-1.807,-0.48
Ullstämma södra,2020,-2.326,1.3,-1.778
Ullstämma västra,2020,-1.454,0.412,0.774
Ulrika,2020,3.153,1.908,2.835
Ulrika glesbygd,2020,0.159,1.034,1.388
Universitetsjukhuset,2020,-0.967,-0.547,-0.312
Universitetsområdet,2020,8.254,-5.873,-1.344
Vallastaden,2020,4.089,-4.149,-1.289
Vidingsjö nordost,2020,-2.666,0.282,-0.061
Vidingsjö nordväst,2020,-2.844,-0.199,-0.203
Vidingsjö sydost,2020,-0.901,0.063,1.079
Vidingsjö sydväst,2020,-0.738,-0.886,1.87
Vikingstad glesbygd,2020,-1.803,0.903,0.732
Vikingstad norra,2020,-1.712,0.007,0.112
Vikingstad södra,2020,-1.662,0.254,-0.463
Vreta,2020,-1.144,-0.798,0.045
Västerberga,2020,8.614,2.807,-0.939
Västerlösa,2020,-1.358,0.538,0.489
Västerlösa glesbygd,2020,-1.934,0.632,0.329
Vårdsbergs kors,2020,-1.537,1.791,1.42
Änggården,2020,0.958,0.757,-0.751
Åbylund,2020,4.227,-2.034,0.504
Åleryd,2020,-0.927,0.047,0.443
Ånestad norra,2020,-2.578,0.117,-1.069
Ånestad södra,2020,-2.611,0.057,-0.521
Örtomta,2020,-1.561,1.555,0.482
Örtomta västra glesbygd,2020,-1.048,0.774,0.615
Örtomta östra glesbygd,2020,-1.145,0.527,1.008
Österberga norra,2020,7.303,1.811,-0.446
Österberga södra,2020,-2.372,-0.01,0.131
Östernäs,2020,-3.592,1.386,-1.737
Övre Vasastaden västra,2020,4.697,-0.834,0.02
Övre Vasastaden östra,2020,3.335,-2.394,-0.363
Alsätter västra,2019,9.032,-2.74,-0.464
Alsätter östra,2019,8.431,2.923,-0.295
Arnebo,2019,-1.028,0.024,-0.086
Askeby,2019,-2.261,0.365,-0.789
Askeby glesbygd,2019,-2.191,-0.103,0.195
Aspnäset,2019,0.251,-0.36,2.645
Bankekind,2019,-2.43,0.579,-0.399
Bankekind norra glesbygd,2019,-1.622,0.915,0.788
Bankekind södra glesbygd,2019,-1.461,0.405,0.451
Barhäll,2019,-1.482,0.563,-0.786
Berg,2019,-2.703,0.294,-0.425
Berg norra glesbygd,2019,-0.818,0.009,0.657
Berg södra glesbygd,2019,-2.154,0.79,0.095
Berga glesbygd,2019,-1.627,2.23,1.499
Bestorp norra glesbygd,2019,1.019,0.813,0.139
Bestorp södra glesbygd,2019,-1.734,0.884,0.783
Bestorp västra,2019,-0.763,0.748,2.03
Bestorp östra,2019,-0.15,1.438,0.435
Bjärka-Säby,2019,-0.339,0.797,0.485
Björkeberg glesbygd,2019,-2.094,1.166,0.635
Björkeberg kyrkby,2019,-0.869,1.873,1.184
Björnkärr,2019,-1.577,0.512,-0.131
Blästad,2019,-1.32,0.521,0.632
Brokind,2019,-2.498,0.744,-0.46
Brokind norra glesbygd,2019,-1.724,-0.402,0.718
Brokind södra glesbygd,2019,-2.635,-0.313,-0.884
Brunnby-Heda,2019,-1.129,0.533,-0.086
Djurgården centrum,2019,3.663,-5.392,-3.153
Duvkullen,2019,0.292,-0.851,-0.103
Ebbepark,2019,1.695,-2.601,-1.248
Ekholmen centrum,2019,3.1,-0.14,2.323
Ektuna,2019,-3.262,0.387,-0.434
Ekängen glesbygd,2019,0.842,1.542,0.462
Fjälla,2019,-1.9,0.206,0.166
Flistad kyrkby,2019,0.598,-1.729,0.334
Folkets Park,2019,-0.361,-1.884,-1.071
Folkungavallen,2019,3.678,-5.971,-3.112
Fridhem,2019,3.156,-2.514,-0.175
Fridsberg,2019,-3.35,-0.23,-1.783
Gamla Ekkällan,2019,1.618,-3.003,0.404
Gamla Gottfridsberg,2019,3.326,-1.755,-0.084
Gamla Linghem,2019,-1.355,0.439,0.308
Gamla Malmslätt,2019,-0.711,-0.126,0.29
Gamla Ramshäll,2019,-0.758,-0.918,0.108
Gamla Tannefors,2019,2.189,-0.925,0.436
Gamla Valla,2019,2.99,-4.047,-0.795
Gamla Vimanshäll,2019,-2.171,-0.198,-1.388
Gammalkil glesbygd,2019,-1.769,0.074,0.695
Gistad,2019,-0.418,0.917,1.199
Gistad glesbygd,2019,-1.77,0.253,0.403
Gullberg,2019,-2.492,1.729,-1.143
Gälstad-Lundby,2019,-1.745,1.167,0.22
Hackefors nordväst,2019,-2.546,1.442,-0.576
Hagaberg,2019,-1.681,-1.723,-0.47
Haninge västra,2019,-1.507,0.381,-0.062
Haninge östra,2019,2.209,1.293,0.587
Harvestad östra,2019,-2.097,-0.406,-2.242
Hejdegården norra,2019,2.607,-1.776,-0.011
Himna södra,2019,-2.773,0.447,-0.919
Hjulsbro östra,2019,-3.047,0.465,-0.691
Holmen,2019,-0.976,0.898,0.226
Hunneberg,2019,2.623,-2.899,0.148
Innerstaden nordost,2019,2.641,-1.464,0.315
Innerstaden nordväst,2019,1.966,-2.175,-0.115
Innerstaden sydost,2019,1.835,-2.121,0.45
Innerstaden sydväst,2019,1.494,-1.948,0.867
Johannelund västra,2019,3.898,-0.852,0.027
Johannesborg,2019,2.355,-3.391,-0.342
Jägarvallen,2019,-2.055,0.175,-0.782
Kanaljorden,2019,3.987,2.284,2.501
Kanberget,2019,0.997,-1.859,-0.315
Kolbyttemon,2019,-3.124,1.357,-0.957
Kränge,2019,-3.105,0.88,-1.054
Kungsberget,2019,2.589,-2.326,-0.468
Kvinneby,2019,1.084,0.071,2.179
Källhemsområdet,2019,-2.507,0.662,0.546
Kärna-Ledberg glesbygd,2019,-2.116,0.688,0.506
Lambohov västra,2019,-3.201,-0.694,-1.632
Landeryd norra,2019,9.196,-2.198,12.337
Landeryd västra glesbygd,2019,0.224,0.003,1.073
Landeryd östra glesbygd,2019,-2.217,0.653,0.512
Ledberg kyrkby,2019,-1.973,0.093,0.72
Lilla Mjärdevi,2019,1.889,-0.368,-0.744
Linghem norra glesbygd,2019,-1.632,0.53,0.644
Linghem södra glesbygd,2019,-0.881,0.641,1.102
Ljungsbro centrum,2019,2.311,0.322,1.141
Ljungsbro mellersta glesbygd,2019,-1.18,0.291,0.418
Ljungsbro norra,2019,-2.775,0.873,-0.657
Ljungsbro norra glesbygd,2019,-1.558,0.886,1.061
Ljungsbro södra glesbygd,2019,-1.384,0.925,0.548
Majelden västra,2019,6.367,0.687,0.64
Majelden östra,2019,2.728,-0.871,-0.845
Malmslätt östra glesbygd,2019,-1.32,0.335,0.979
Manstorp,2019,-1.323,0.024,-0.531
Mariedal,2019,-1.002,-0.037,0.469
Maspelösa,2019,-2.276,1.375,-0.205
Munkgärdet,2019,2.189,-1.37,-0.545
Munkhagen,2019,1.445,-1.41,2.036
Möjetorp,2019,-2.568,0.445,-0.37
Nedre Ullstämma,2019,-0.887,0.812,-0.568
Nedre Vasastaden,2019,1.81,-2.265,0.042
Norrberga,2019,-0.874,-1.219,-1.248
Nygård,2019,7.96,2.775,0.189
Nykil,2019,-0.976,-0.259,-0.259
Nykil norra glesbygd,2019,-1.455,0.705,0.814
Nykil södra glesbygd,2019,-1.155,0.21,0.495
Näsby,2019,-5.01,1.372,-2.27
Rappestad,2019,-2.852,0.73,0.384
Rappestad glesbygd,2019,-2.361,0.928,0.388
Ringstorp,2019,-1.884,0.499,0.164
Risbrinken,2019,1.863,-2.096,0.452
Rosendal,2019,12.193,7.24,-1.356
Roxenbaden,2019,-1.461,-0.419,0.625
Roxtuna,2019,-2.226,0.528,-0.376
Rystads kyrkby,2019,-0.9,-0.085,0.485
Råberga,2019,2.144,-0.735,-0.688
Sjögestad,2019,-1.128,1.011,0.097
Sjögestad glesbygd,2019,-1.598,0.488,0.319
Skarpan,2019,2.059,-1.096,0.183
Skeda Udde,2019,-2.535,0.499,-0.343
Skeda kyrkby,2019,-2.202,0.673,0.075
Skeda norra glesbygd,2019,-1.885,0.237,0.001
Skeda södra glesbygd,2019,-2.2,0.767,0.075
Skogsvallen,2019,-1.253,-1.924,-1.344
Skonberga,2019,-3.223,0.327,-0.845
Slaka glesbygd,2019,-1.849,0.809,-0.067
Slaka västra,2019,-3.152,0.775,-1.165
Slaka östra,2019,-3.364,0.544,-1.407
Slestad,2019,1.914,0.647,-0.715
Slycke,2019,-2.512,1.836,0.398
Sockenmarken,2019,-0.55,0.805,0.196
Solhaga,2019,5.655,-0.088,-0.426
Steninge,2019,1.987,-2.741,-2.037
Stensätter,2019,-2.75,1.081,-1.748
Stolplyckan,2019,3.935,-0.237,0.12
Sturefors glesbygd,2019,-1.987,-0.208,-0.315
Sturefors norra,2019,-1.579,0.143,0.359
Sturefors södra,2019,-3.033,0.703,-0.539
Stångebro östra,2019,19.727,8.199,-6.118
Svartmåla-Unön,2019,-1.59,-0.451,0.31
Sätra,2019,-1.405,0.084,0.744
Sättuna,2019,-3.12,1.262,-0.451
Sågareholmen,2019,-0.982,-1.674,-1.12
Södra Ekkällan,2019,0.346,-2.06,-1.762
Sörgården,2019,9.931,3.747,-0.828
T 1 norra,2019,2.16,-2.264,-0.836
T 1 södra,2019,-0.746,-0.318,-1.016
Tallboda glesbygd,2019,-1.676,0.436,-0.259
Tallboda norra,2019,-1.713,1.029,-0.418
Tallboda södra,2019,-0.193,0.658,-0.004
Tinneröhöjden,2019,-0.119,-1.973,-0.538
Tokarp,2019,-1.924,0.766,-0.008
Tornhagen,2019,0.557,-1.77,-0.412
Ullstämma södra,2019,-1.784,1.565,-1.527
Ullstämma västra,2019,-1.418,0.268,0.761
Ulrika,2019,2.376,1.063,4.411
Ulrika glesbygd,2019,0.139,1.531,2.117
Universitetsjukhuset,2019,-0.949,-0.913,-0.839
Universitetsområdet,2019,8.349,-5.453,-0.713
Vallastaden,2019,4.192,-4.349,-1.383
Vidingsjö nordost,2019,-2.658,0.112,-0.097
Vidingsjö nordväst,2019,-2.82,-0.014,-0.159
Vidingsjö sydost,2019,-0.674,0.329,1.225
Vidingsjö sydväst,2019,-0.757,-0.848,1.158
Vikingstad glesbygd,2019,-1.983,0.621,0.192
Vikingstad norra,2019,-1.785,-0.007,-0.099
Vikingstad södra,2019,-1.552,0.029,-0.623
Vreta,2019,-1.039,-0.44,-0.782
Västerberga,2019,8.603,3.102,-0.857
Västerlösa,2019,-1.593,0.772,0.79
Västerlösa glesbygd,2019,-1.885,0.663,0.343
Vårdsbergs kors,2019,-1.237,2.283,2.296
Änggården,2019,1.028,0.889,-0.778
Åbylund,2019,4.331,-2.081,0.495
Åleryd,2019,-0.825,-0.454,0.59
Ånestad norra,2019,-2.463,-0.039,-0.95
Ånestad södra,2019,-2.599,0.048,-0.586
Örtomta,2019,-1.826,1.063,0.705
Örtomta västra glesbygd,2019,-1.313,1.25,0.673
Örtomta östra glesbygd,2019,-0.764,0.759,1.12
Österberga norra,2019,7.272,1.949,-0.219
Österberga södra,2019,-2.34,-0.043,0.209
Östernäs,2019,-3.341,1.27,-1.519
Övre Vasastaden västra,2019,4.898,-0.799,0.118
Övre Vasastaden östra,2019,3.467,-2.433,-0.427
Alsätter västra,2018,8.969,-2.918,-0.426
Alsätter östra,2018,8.548,2.747,-0.445
Arnebo,2018,-1.407,0.31,0.621
Askeby,2018,-2.638,0.438,-0.82
Askeby glesbygd,2018,-2.341,-0.041,0.021
Aspnäset,2018,0.293,0.02,2.578
Bankekind,2018,-2.506,0.335,-0.686
Bankekind norra glesbygd,2018,-1.759,0.363,0.219
Bankekind södra glesbygd,2018,-1.342,0.384,0.499
Barhäll,2018,-1.591,0.505,-0.594
Berg,2018,-2.771,0.327,-0.519
Berg norra glesbygd,2018,-0.812,-0.038,0.537
Berg södra glesbygd,2018,-2.345,0.678,-0.21
Berga glesbygd,2018,-1.884,1.822,1.462
Bestorp norra glesbygd,2018,-0.253,-0.271,0.12
Bestorp södra glesbygd,2018,-1.26,0.741,0.619
Bestorp västra,2018,-0.809,0.457,1.573
Bestorp östra,2018,-0.229,1.155,-0.094
Bjärka-Säby,2018,0.112,1.286,1.196
Björkeberg glesbygd,2018,-1.73,1.597,1.121
Björkeberg kyrkby,2018,-1.122,1.262,0.905
Björnkärr,2018,-1.747,0.597,-0.264
Blästad,2018,-1.304,0.699,0.747
Brokind,2018,-2.523,0.722,-0.498
Brokind norra glesbygd,2018,-1.62,-0.591,0.532
Brokind södra glesbygd,2018,-2.323,0.156,-0.691
Brunnby-Heda,2018,-0.995,0.818,0.189
Djurgården centrum,2018,3.584,-5.23,-2.441
Duvkullen,2018,0.254,-0.863,-0.038
Ebbepark,2018,1.601,-2.628,-1.294
Ekholmen centrum,2018,3.038,-0.103,2.402
Ektuna,2018,-3.133,0.463,-0.422
Ekängen glesbygd,2018,1.298,0.814,0.381
Fjälla,2018,-1.621,-0.211,0.061
Flistad kyrkby,2018,0.923,-1.984,0.172
Folkets Park,2018,-0.171,-1.69,-0.765
Folkungavallen,2018,3.598,-5.856,-2.488
Fridhem,2018,2.851,-2.503,-0.178
Fridsberg,2018,-3.328,-0.394,-2.006
Gamla Ekkällan,2018,1.501,-2.855,0.062
Gamla Gottfridsberg,2018,3.277,-1.739,-0.152
Gamla Linghem,2018,-1.495,0.392,0.206
Gamla Malmslätt,2018,-0.847,-0.051,0.233
Gamla Ramshäll,2018,-0.91,-0.867,-0.093
Gamla Tannefors,2018,2.315,-0.794,0.629
Gamla Valla,2018,3.003,-4.165,-0.828
Gamla Vimanshäll,2018,-2.262,-0.279,-1.374
Gammalkil glesbygd,2018,-1.689,0.096,0.699
Gistad,2018,-0.471,1.254,1.16
Gistad glesbygd,2018,-1.842,0.245,0.552
Gullberg,2018,-2.548,1.554,-1.12
Gälstad-Lundby,2018,-2.232,1.222,-0.168
Hackefors nordväst,2018,-2.432,0.993,-0.866
Hagaberg,2018,-1.56,-1.796,-0.768
Haninge västra,2018,-1.499,0.531,-0.087
Haninge östra,2018,2.186,1.415,0.589
Harvestad östra,2018,-1.925,-0.893,-2.285
Hejdegården norra,2018,2.706,-1.792,-0.091
Himna södra,2018,-2.871,0.612,-0.835
Hjulsbro östra,2018,-3.015,0.332,-0.929
Holmen,2018,-0.767,0.839,0.117
Hunneberg,2018,2.62,-3.004,-0.161
Innerstaden nordost,2018,2.592,-1.519,0.284
Innerstaden nordväst,2018,1.922,-2.086,-0.061
Innerstaden sydost,2018,1.954,-1.903,0.502
Innerstaden sydväst,2018,1.175,-2.178,0.604
Johannelund västra,2018,4.041,-0.824,0.034
Johannesborg,2018,2.232,-3.387,-0.316
Jägarvallen,2018,-1.915,0.359,-0.768
Kanaljorden,2018,1.1,1.221,2.74
Kanberget,2018,0.89,-1.943,-0.426
Kolbyttemon,2018,-3.058,1.568,-0.963
Kränge,2018,-2.635,0.877,-1.0
Kungsberget,2018,2.795,-2.119,-0.266
Kvinneby,2018,1.076,0.112,1.866
Källhemsområdet,2018,-2.533,0.815,0.313
Kärna-Ledberg glesbygd,2018,-2.104,0.598,0.217
Lambohov västra,2018,-2.988,-1.177,-2.144
Landeryd norra,2018,9.094,-2.053,12.082
Landeryd västra glesbygd,2018,-0.058,0.083,0.941
Landeryd östra glesbygd,2018,-2.258,1.328,0.631
Ledberg kyrkby,2018,-1.746,-0.101,0.643
Lilla Mjärdevi,2018,1.998,-0.458,-0.577
Linghem norra glesbygd,2018,-1.526,0.773,0.843
Linghem södra glesbygd,2018,-0.844,0.712,0.843
Ljungsbro centrum,2018,2.163,0.524,1.31
Ljungsbro mellersta glesbygd,2018,-1.44,0.458,0.5
Ljungsbro norra,2018,-2.752,0.873,-0.584
Ljungsbro norra glesbygd,2018,-1.398,0.942,1.107
Ljungsbro södra glesbygd,2018,-1.048,1.063,0.649
Majelden västra,2018,6.57,0.436,0.539
Majelden östra,2018,2.734,-0.908,-0.974
Malmslätt östra glesbygd,2018,-1.12,0.662,1.267
Manstorp,2018,-1.823,0.379,-0.491
Mariedal,2018,-0.811,0.006,0.54
Maspelösa,2018,-2.011,1.437,0.17
Munkgärdet,2018,2.151,-1.299,-0.671
Munkhagen,2018,1.542,-1.472,2.161
Möjetorp,2018,-2.666,0.178,-0.976
Nedre Ullstämma,2018,-0.824,0.666,-0.677
Nedre Vasastaden,2018,1.747,-2.217,0.144
Norrberga,2018,-0.638,-1.44,-1.397
Nygård,2018,8.114,2.99,0.054
Nykil,2018,-0.67,-0.076,0.069
Nykil norra glesbygd,2018,-1.275,0.59,0.688
Nykil södra glesbygd,2018,-0.968,0.544,0.762
Näsby,2018,-4.839,1.56,-2.643
Rappestad,2018,-2.735,0.605,0.185
Rappestad glesbygd,2018,-2.037,1.097,0.696
Ringstorp,2018,-1.867,0.38,0.141
Risbrinken,2018,2.034,-2.051,0.326
Rosendal,2018,12.419,7.546,-1.318
Roxenbaden,2018,-1.69,-0.229,0.401
Roxtuna,2018,-1.885,0.359,-0.273
Rystads kyrkby,2018,-1.023,0.475,-0.199
Råberga,2018,1.773,-0.559,-0.119
Sjögestad,2018,-1.131,1.09,0.291
Sjögestad glesbygd,2018,-1.661,0.684,0.53
Skarpan,2018,2.027,-1.412,0.146
Skeda Udde,2018,-2.159,0.59,-0.204
Skeda kyrkby,2018,-2.441,0.739,-0.075
Skeda norra glesbygd,2018,-1.785,0.592,0.301
Skeda södra glesbygd,2018,-2.468,0.464,-0.21
Skogsvallen,2018,-1.332,-1.913,-1.509
Skonberga,2018,-3.245,0.378,-0.977
Slaka glesbygd,2018,-1.648,1.284,0.299
Slaka västra,2018,-3.119,0.332,-1.425
Slaka östra,2018,-3.225,0.674,-1.12
Slestad,2018,2.017,0.543,-0.697
Slycke,2018,-2.393,1.83,0.127
Sockenmarken,2018,-0.372,0.781,0.088
Solhaga,2018,5.938,-0.04,-0.232
Steninge,2018,1.578,-2.808,-2.011
Stensätter,2018,-2.836,0.881,-2.034
Stolplyckan,2018,4.094,-0.201,-0.227
Sturefors glesbygd,2018,-1.848,-0.231,-0.039
Sturefors norra,2018,-1.675,0.14,0.258
Sturefors södra,2018,-3.245,0.696,-0.819
Stångebro östra,2018,20.376,8.135,-6.241
Svartmåla-Unön,2018,-1.283,0.523,1.502
Sätra,2018,-0.976,0.595,1.827
Sättuna,2018,-2.723,1.143,-0.741
Sågareholmen,2018,-1.532,-1.56,-0.791
Södra Ekkällan,2018,0.234,-1.876,-1.673
Sörgården,2018,9.557,3.65,-0.722
T 1 norra,2018,2.327,-2.242,-0.83
T 1 södra,2018,-0.652,-0.276,-1.049
Tallboda glesbygd,2018,-1.801,0.295,-0.271
Tallboda norra,2018,-1.72,1.059,-0.306
Tallboda södra,2018,-0.18,0.773,0.242
Tinneröhöjden,2018,0.382,-2.052,-0.839
Tokarp,2018,-2.024,0.764,-0.025
Tornhagen,2018,0.714,-1.782,-0.138
Ullstämma södra,2018,-1.424,1.239,-1.85
Ullstämma västra,2018,-1.345,0.029,0.356
Ulrika,2018,2.267,1.248,5.175
Ulrika glesbygd,2018,-0.326,1.169,1.392
Universitetsjukhuset,2018,-0.607,-1.185,-1.137
Universitetsområdet,2018,8.378,-5.642,-0.842
Vallastaden,2018,4.066,-4.438,-1.293
Vidingsjö nordost,2018,-2.594,0.053,-0.167
Vidingsjö nordväst,2018,-2.807,-0.12,-0.402
Vidingsjö sydost,2018,-0.857,0.289,1.393
Vidingsjö sydväst,2018,-0.687,-0.553,1.307
Vikingstad glesbygd,2018,-1.858,0.976,0.553
Vikingstad norra,2018,-1.852,0.089,0.191
Vikingstad södra,2018,-1.585,0.245,-0.4
Vreta,2018,-1.531,-0.766,-0.229
Västerberga,2018,8.4,3.158,-0.877
Västerlösa,2018,-2.004,1.123,0.794
Västerlösa glesbygd,2018,-1.809,0.884,0.38
Vårdsbergs kors,2018,-0.985,2.328,2.111
Änggården,2018,1.046,0.771,-0.863
Åbylund,2018,4.299,-2.018,0.802
Åleryd,2018,-0.834,-0.519,0.41
Ånestad norra,2018,-2.519,-0.171,-0.988
Ånestad södra,2018,-2.644,-0.043,-0.593
Örtomta,2018,-1.567,1.127,0.65
Örtomta västra glesbygd,2018,-1.634,1.348,1.001
Örtomta östra glesbygd,2018,-0.48,1.019,1.486
Österberga norra,2018,7.292,1.839,-0.061
Österberga södra,2018,-2.325,-0.065,0.117
Östernäs,2018,-3.363,1.036,-1.77
Övre Vasastaden västra,2018,4.841,-1.054,0.216
Övre Vasastaden östra,2018,3.604,-2.481,-0.248
Alsätter västra,2017,8.737,-2.975,-0.891
Alsätter östra,2017,8.111,2.022,-0.396
Arnebo,2017,-1.653,-0.171,-0.003
Askeby,2017,-2.627,0.713,-0.771
Askeby glesbygd,2017,-2.18,-0.038,0.056
Aspnäset,2017,0.396,-0.01,2.386
Bankekind,2017,-2.428,0.355,-0.789
Bankekind norra glesbygd,2017,-1.434,0.986,0.435
Bankekind södra glesbygd,2017,-1.19,0.003,0.062
Barhäll,2017,-1.691,0.208,-0.921
Berg,2017,-2.692,0.15,-0.463
Berg norra glesbygd,2017,-0.805,0.05,0.49
Berg södra glesbygd,2017,-2.134,0.465,0.015
Berga glesbygd,2017,-1.914,1.977,0.995
Bestorp norra glesbygd,2017,-0.674,-0.466,0.049
Bestorp södra glesbygd,2017,-1.677,0.64,0.72
Bestorp västra,2017,-0.798,1.007,1.647
Bestorp östra,2017,-0.542,0.234,-0.037
Bjärka-Säby,2017,-0.595,0.582,0.096
Björkeberg glesbygd,2017,-1.647,1.735,0.493
Björkeberg kyrkby,2017,-1.112,1.176,0.686
Björnkärr,2017,-1.781,0.59,-0.445
Blästad,2017,-1.372,0.673,0.419
Brokind,2017,-2.323,0.62,-0.628
Brokind norra glesbygd,2017,-1.763,-0.096,0.711
Brokind södra glesbygd,2017,-2.111,0.178,-0.626
Brunnby-Heda,2017,-0.911,0.7,0.16
Djurgården centrum,2017,3.546,-5.249,-2.13
Duvkullen,2017,0.364,-0.799,0.167
Ebbepark,2017,1.446,-2.672,-1.082
Ekholmen centrum,2017,3.031,0.194,2.28
Ektuna,2017,-3.066,0.621,-0.302
Ekängen glesbygd,2017,0.614,1.332,0.423
Fjälla,2017,-1.787,0.058,0.161
Flistad kyrkby,2017,1.341,-2.107,-0.209
Folkets Park,2017,-0.233,-1.953,-0.493
Folkungavallen,2017,3.561,-5.881,-2.119
Fridhem,2017,2.813,-2.554,0.14
Fridsberg,2017,-3.347,-0.501,-1.794
Gamla Ekkällan,2017,1.965,-2.693,0.645
Gamla Gottfridsberg,2017,3.262,-1.823,-0.023
Gamla Linghem,2017,-1.197,0.546,0.195
Gamla Malmslätt,2017,-0.893,-0.06,0.224
Gamla Ramshäll,2017,-0.764,-1.029,-0.158
Gamla Tannefors,2017,1.969,-1.066,0.868
Gamla Valla,2017,3.08,-3.879,-0.45
Gamla Vimanshäll,2017,-2.199,-0.445,-1.279
Gammalkil glesbygd,2017,-1.499,0.264,0.797
Gistad,2017,-0.709,0.707,1.024
Gistad glesbygd,2017,-1.89,-0.055,0.036
Gullberg,2017,-2.169,1.015,-1.457
Gälstad-Lundby,2017,-1.526,1.293,0.498
Hackefors nordväst,2017,-2.802,0.819,-1.084
Hagaberg,2017,-1.344,-1.531,-0.33
Haninge västra,2017,-1.545,0.43,-0.243
Haninge östra,2017,1.849,1.036,0.251
Harvestad östra,2017,-1.471,-1.456,-1.827
Hejdegården norra,2017,2.626,-1.736,0.241
Himna södra,2017,-2.798,0.584,-0.642
Hjulsbro östra,2017,-2.76,0.754,-0.466
Holmen,2017,-1.163,0.651,-0.285
Hunneberg,2017,2.54,-3.106,0.287
Innerstaden nordost,2017,2.502,-1.696,0.784
Innerstaden nordväst,2017,1.699,-2.269,0.242
Innerstaden sydost,2017,2.122,-1.896,0.678
Innerstaden sydväst,2017,1.111,-2.003,1.085
Johannelund västra,2017,3.895,-0.908,0.491
Johannesborg,2017,2.195,-3.176,0.371
Jägarvallen,2017,-1.682,0.593,-0.658
Kanaljorden,2017,2.809,3.349,3.063
Kanberget,2017,0.891,-1.934,-0.107
Kolbyttemon,2017,-2.637,1.369,-0.922
Kränge,2017,-2.564,0.596,-0.982
Kungsberget,2017,2.724,-2.232,0.185
Kvinneby,2017,0.913,0.087,1.769
Källhemsområdet,2017,-2.476,0.92,0.31
Kärna-Ledberg glesbygd,2017,-1.942,0.913,0.259
Lambohov västra,2017,-3.374,-0.954,-1.97
Landeryd norra,2017,10.219,0.377,11.021
Landeryd västra glesbygd,2017,0.108,0.575,0.974
Landeryd östra glesbygd,2017,-2.34,1.113,-0.052
Ledberg kyrkby,2017,-1.915,0.156,0.576
Lilla Mjärdevi,2017,2.172,-0.548,-0.412
Linghem norra glesbygd,2017,-1.424,1.066,0.609
