Target_Index;Model_Size;R2;Intercept;Lkpg_Baseline_Score;Driver1;Coef1;Lkpg_Val1;Driver2;Coef2;Lkpg_Val2;Driver3;Coef3;Lkpg_Val3;Driver4;Coef4;Lkpg_Val4;Driver5;Coef5;Lkpg_Val5
PCI (Platsattraktivitet);1;0.0005740802790878963;107.4411056266047;107.25938854178958;Nettopendling (Beräknad Inpendling-Utpendling);-2.8341219924734066e-05;6411.759454875472;;0.0;0.0;;0.0;0.0;;0.0;0.0;;0.0;0.0
PCI (Platsattraktivitet);2;0.2024091835191021;121.5435738020708;107.25938854178958;Nettopendling (Beräknad Inpendling-Utpendling);0.00021181569471288684;6411.759454875472;Vuxen_bef (Beräkning Folkmängd);-0.6972816617951006;22.433253878034947;;0.0;0.0;;0.0;0.0;;0.0;0.0
PCI (Platsattraktivitet);3;0.5585997293217698;87.03767786037777;107.25938854178958;Nettopendling (Beräknad Inpendling-Utpendling);0.0005022369752841495;6411.759454875472;Vuxen_bef (Beräkning Folkmängd);-1.0124164214894813;22.433253878034947;Andel_Privat;0.5854575678690476;67.83289652341406;;0.0;0.0;;0.0;0.0
PCI (Platsattraktivitet);4;0.5647438424699132;64.88274822390397;107.25938854178958;Nettopendling (Beräknad Inpendling-Utpendling);0.0004989709470656341;6411.759454875472;Vuxen_bef (Beräkning Folkmängd);-0.9679544648853471;22.433253878034947;Andel_Privat;0.5629482918388337;67.83289652341406;Nettoinkomst_median;0.07364681691580766;308.3;;0.0;0.0
PCI (Platsattraktivitet);5;0.5762959028764939;56.2002526869392;107.25938854178958;Nettopendling (Beräknad Inpendling-Utpendling);0.00036219550047515;6411.759454875472;Vuxen_bef (Beräkning Folkmängd);-1.029894787680624;22.433253878034947;Andel_Privat;0.5840085122384024;67.83289652341406;Nettoinkomst_median;0.1150471559063137;308.3;Inflytt_annat_län_30-59;-0.004990747946445613;649.8646115392627
ECI (Ekonomisk Motor);1;0.007410114494264319;75.05507837990795;74.37778885234724;KIBS (beräkning Sysselsatta);-0.08003634086848264;8.46227501421702;;0.0;0.0;;0.0;0.0;;0.0;0.0;;0.0;0.0
ECI (Ekonomisk Motor);2;0.2038390601159964;49.8718626138388;74.37778885234724;KIBS (beräkning Sysselsatta);0.18116463445704617;8.46227501421702;Nattbefolkning;0.0004583089643582982;50125.271520814116;;0.0;0.0;;0.0;0.0;;0.0;0.0
ECI (Ekonomisk Motor);3;0.8368363940967525;74.28484974442233;74.37778885234724;KIBS (beräkning Sysselsatta);0.13426553698197513;8.46227501421702;Nattbefolkning;0.0009240472769573779;50125.271520814116;Skattesats;-1.4916968014647427;31.75;;0.0;0.0;;0.0;0.0
ECI (Ekonomisk Motor);4;0.885327970889607;81.90550447936783;74.37778885234724;KIBS (beräkning Sysselsatta);-0.01143058479337233;8.46227501421702;Nattbefolkning;0.001199295876951389;50125.271520814116;Skattesats;-1.6733119289385603;31.75;Sysselsättningsgrad;-0.18604341415622877;77.5;;0.0;0.0
ECI (Ekonomisk Motor);5;0.8953150936717871;88.11097760812228;74.37778885234724;KIBS (beräkning Sysselsatta);0.04826888929888072;8.46227501421702;Nattbefolkning;0.0010333367968232666;50125.271520814116;Skattesats;-1.5713570355881348;31.75;Sysselsättningsgrad;-0.20090737365822844;77.5;Inflytt_eget_län;-0.00036685735457495225;1300.3243371916565
HCI (Humankapital);1;0.10072208870180765;-66.00394231343934;110.52157559331347;Nattbefolkning;0.0035216870163676224;50125.271520814116;;0.0;0.0;;0.0;0.0;;0.0;0.0;;0.0;0.0
HCI (Humankapital);2;0.4716601857505869;-516.518532302157;110.52157559331347;Nattbefolkning;0.003971803686969569;50125.271520814116;Skattekraft;0.15963933773241978;2680.745082869641;;0.0;0.0;;0.0;0.0;;0.0;0.0
HCI (Humankapital);3;0.9208716547376009;215.10659751317007;110.52157559331347;Nattbefolkning;0.004913487627133314;50125.271520814116;Skattekraft;0.03075318472984093;2680.745082869641;Ung_bef;-0.01958425901297534;22125.74761210462;;0.0;0.0;;0.0;0.0
HCI (Humankapital);4;0.9317418201729024;104.55655568621667;110.52157559331347;Nattbefolkning;0.005423673470056163;50125.271520814116;Skattekraft;0.033098981993756035;2680.745082869641;Ung_bef;-0.016076535698787867;22125.74761210462;Bostadsbyggande;0.0066667865155548055;161.6;;0.0;0.0
HCI (Humankapital);5;0.9534354716955847;270.28000665926476;110.52157559331347;Nattbefolkning;0.007065686637844274;50125.271520814116;Skattekraft;0.0014621511319669151;2680.745082869641;Ung_bef;-0.02319742605887594;22125.74761210462;Bostadsbyggande;0.004978620791843553;161.6;Nettoflyttning (Beräknad Inflytt_annat_län_30-59-Utflytt_annat_län_30-59);0.042735561749741365;-126.1641919838129
TMI (Tillväxt & Momentum);1;0.585504210238014;-74.78810049413501;60.76386968132884;Lång_eftergymnasial_ant25;0.006648028518018233;20389.799744100932;;0.0;0.0;;0.0;0.0;;0.0;0.0;;0.0;0.0
TMI (Tillväxt & Momentum);2;0.5855042110336819;-74.78865920247465;60.76386968132884;Lång_eftergymnasial_ant25;0.006648139777522835;20389.799744100932;Inpendling (beräkning Sysselsatta);-0.00011770984601648741;14.525978384237334;;0.0;0.0;;0.0;0.0;;0.0;0.0
TMI (Tillväxt & Momentum);3;0.6170965912201867;-59.9450450695323;60.76386968132884;Lång_eftergymnasial_ant25;0.005882027424962867;20389.799744100932;Inpendling (beräkning Sysselsatta);-0.331135429041338;14.525978384237334;Nettoflyttning (Beräknad Inflyttning_annat_län-Utflyttning_annat_län);0.04325251526561076;129.13976254946888;;0.0;0.0;;0.0;0.0
TMI (Tillväxt & Momentum);4;0.6250238966159503;-2.673564506227521;60.76386968132884;Lång_eftergymnasial_ant25;0.006353668577858233;20389.799744100932;Inpendling (beräkning Sysselsatta);-0.045037635722215884;14.525978384237334;Nettoflyttning (Beräknad Inflyttning_annat_län-Utflyttning_annat_län);0.06733008037896422;129.13976254946888;Bostadspriser;-0.016772985891191496;4421.0;;0.0;0.0
TMI (Tillväxt & Momentum);5;0.7232460275950298;2783.2733855517467;60.76386968132884;Lång_eftergymnasial_ant25;0.0003910909087952602;20389.799744100932;Inpendling (beräkning Sysselsatta);-4.002359249409161;14.525978384237334;Nettoflyttning (Beräknad Inflyttning_annat_län-Utflyttning_annat_län);0.23139588506939981;129.13976254946888;Bostadspriser;-0.1462986229336467;4421.0;Sysselsättningsgrad;-26.521829611648474;77.5
