Kommun;År;Indikator;Värde
Lkpg-Nkpg;2007;Arbetslöshet;7.9
Lkpg-Nkpg;2008;Arbetslöshet;7.050000000000001
Lkpg-Nkpg;2009;Arbetslöshet;8.8
Lkpg-Nkpg;2010;Arbetslöshet;10.6
Lkpg-Nkpg;2011;Arbetslöshet;10.45
Lkpg-Nkpg;2012;Arbetslöshet;10.45
Lkpg-Nkpg;2013;Arbetslöshet;10.6
Lkpg-Nkpg;2014;Arbetslöshet;10.05
Lkpg-Nkpg;2015;Arbetslöshet;9.55
Lkpg-Nkpg;2016;Arbetslöshet;9.2
Lkpg-Nkpg;2017;Arbetslöshet;9.2
Lkpg-Nkpg;2018;Arbetslöshet;8.75
Lkpg-Nkpg;2019;Arbetslöshet;8.2
Lkpg-Nkpg;2020;Arbetslöshet;8.7
Lkpg-Nkpg;2021;Arbetslöshet;9.1
Lkpg-Nkpg;2022;Arbetslöshet;7.9
Lkpg-Nkpg;2023;Arbetslöshet;7.35
Lkpg-Nkpg;2024;Arbetslöshet;7.5
Lkpg-Nkpg;2025;Arbetslöshet;7.949999999999999
Lund;2006;Arbetslöshet;6.4
Lund;2007;Arbetslöshet;5.2
Lund;2008;Arbetslöshet;4.1
Lund;2009;Arbetslöshet;5.0
Lund;2010;Arbetslöshet;6.2
Lund;2011;Arbetslöshet;6.0
Lund;2012;Arbetslöshet;5.8
Lund;2013;Arbetslöshet;6.0
Lund;2014;Arbetslöshet;5.9
Lund;2015;Arbetslöshet;5.8
Lund;2016;Arbetslöshet;5.6
Lund;2017;Arbetslöshet;6.1
Lund;2018;Arbetslöshet;6.3
Lund;2019;Arbetslöshet;6.3
Lund;2020;Arbetslöshet;6.9
Lund;2021;Arbetslöshet;7.4
Lund;2022;Arbetslöshet;6.3
Lund;2023;Arbetslöshet;5.7
Lund;2024;Arbetslöshet;5.9
Lund;2025;Arbetslöshet;6.3
Länet exkl Linköping;2006;Arbetslöshet;10.4
Länet exkl Linköping;2007;Arbetslöshet;8.666666666666666
Länet exkl Linköping;2008;Arbetslöshet;7.733333333333334
Länet exkl Linköping;2009;Arbetslöshet;9.7
Länet exkl Linköping;2010;Arbetslöshet;11.433333333333332
Länet exkl Linköping;2011;Arbetslöshet;11.4
Länet exkl Linköping;2012;Arbetslöshet;11.6
Länet exkl Linköping;2013;Arbetslöshet;11.9
Länet exkl Linköping;2014;Arbetslöshet;11.733333333333334
Länet exkl Linköping;2015;Arbetslöshet;11.4
Länet exkl Linköping;2016;Arbetslöshet;11.066666666666668
Länet exkl Linköping;2017;Arbetslöshet;11.2
Länet exkl Linköping;2018;Arbetslöshet;10.5
Länet exkl Linköping;2019;Arbetslöshet;9.666666666666666
Länet exkl Linköping;2020;Arbetslöshet;10.066666666666666
Länet exkl Linköping;2021;Arbetslöshet;10.366666666666667
Länet exkl Linköping;2022;Arbetslöshet;8.966666666666667
Länet exkl Linköping;2023;Arbetslöshet;8.233333333333333
Länet exkl Linköping;2024;Arbetslöshet;8.4
Länet exkl Linköping;2025;Arbetslöshet;8.933333333333334
Länet exkl Norrköping;2006;Arbetslöshet;8.0
Länet exkl Norrköping;2007;Arbetslöshet;6.533333333333334
Länet exkl Norrköping;2008;Arbetslöshet;5.933333333333334
Länet exkl Norrköping;2009;Arbetslöshet;7.566666666666666
Länet exkl Norrköping;2010;Arbetslöshet;9.566666666666666
Länet exkl Norrköping;2011;Arbetslöshet;9.2
Länet exkl Norrköping;2012;Arbetslöshet;9.0
Länet exkl Norrköping;2013;Arbetslöshet;8.966666666666667
Länet exkl Norrköping;2014;Arbetslöshet;8.066666666666666
Länet exkl Norrköping;2015;Arbetslöshet;7.466666666666666
Länet exkl Norrköping;2016;Arbetslöshet;7.066666666666666
Länet exkl Norrköping;2017;Arbetslöshet;6.933333333333334
Länet exkl Norrköping;2018;Arbetslöshet;6.7
Länet exkl Norrköping;2019;Arbetslöshet;6.466666666666666
Länet exkl Norrköping;2020;Arbetslöshet;7.0
Länet exkl Norrköping;2021;Arbetslöshet;7.433333333333334
Länet exkl Norrköping;2022;Arbetslöshet;6.433333333333334
Länet exkl Norrköping;2023;Arbetslöshet;6.033333333333334
Länet exkl Norrköping;2024;Arbetslöshet;6.266666666666667
Länet exkl Norrköping;2025;Arbetslöshet;6.6000000000000005
Malmö;2006;Arbetslöshet;11.1
Malmö;2007;Arbetslöshet;8.9
Malmö;2008;Arbetslöshet;7.4
Malmö;2009;Arbetslöshet;9.6
Malmö;2010;Arbetslöshet;13.0
Malmö;2011;Arbetslöshet;13.4
Malmö;2012;Arbetslöshet;13.7
Malmö;2013;Arbetslöshet;14.5
Malmö;2014;Arbetslöshet;14.9
Malmö;2015;Arbetslöshet;14.7
Malmö;2016;Arbetslöshet;15.1
Malmö;2017;Arbetslöshet;14.7
Malmö;2018;Arbetslöshet;14.0
Malmö;2019;Arbetslöshet;13.6
Malmö;2020;Arbetslöshet;13.9
Malmö;2021;Arbetslöshet;15.3
Malmö;2022;Arbetslöshet;12.8
Malmö;2023;Arbetslöshet;11.8
Malmö;2024;Arbetslöshet;12.3
Malmö;2025;Arbetslöshet;12.4
Norrköping;2006;Arbetslöshet;11.3
Norrköping;2007;Arbetslöshet;9.5
Norrköping;2008;Arbetslöshet;8.4
Norrköping;2009;Arbetslöshet;10.4
Norrköping;2010;Arbetslöshet;12.0
Norrköping;2011;Arbetslöshet;12.1
Norrköping;2012;Arbetslöshet;12.4
Norrköping;2013;Arbetslöshet;12.8
Norrköping;2014;Arbetslöshet;12.8
Norrköping;2015;Arbetslöshet;12.5
Norrköping;2016;Arbetslöshet;12.2
Norrköping;2017;Arbetslöshet;12.4
Norrköping;2018;Arbetslöshet;11.6
Norrköping;2019;Arbetslöshet;10.6
Norrköping;2020;Arbetslöshet;11.0
Norrköping;2021;Arbetslöshet;11.3
Norrköping;2022;Arbetslöshet;9.8
Norrköping;2023;Arbetslöshet;9.0
Norrköping;2024;Arbetslöshet;9.1
Norrköping;2025;Arbetslöshet;9.7
Riket;2006;Arbetslöshet;7.4
Riket;2007;Arbetslöshet;5.7
Riket;2008;Arbetslöshet;4.9
Riket;2009;Arbetslöshet;7.0
Riket;2010;Arbetslöshet;9.1
Riket;2011;Arbetslöshet;8.5
Riket;2012;Arbetslöshet;8.5
Riket;2013;Arbetslöshet;8.7
Riket;2014;Arbetslöshet;8.2
Riket;2015;Arbetslöshet;7.9
Riket;2016;Arbetslöshet;7.8
Riket;2017;Arbetslöshet;7.7
Riket;2018;Arbetslöshet;7.2
Riket;2019;Arbetslöshet;6.9
Riket;2020;Arbetslöshet;7.6
Riket;2021;Arbetslöshet;8.4
Riket;2022;Arbetslöshet;7.0
Riket;2023;Arbetslöshet;6.4
Riket;2024;Arbetslöshet;6.7
Riket;2025;Arbetslöshet;7.1
Sex till tolv;2006;Arbetslöshet;8.571428571428573
Sex till tolv;2007;Arbetslöshet;6.957142857142857
Sex till tolv;2008;Arbetslöshet;6.114285714285714
Sex till tolv;2009;Arbetslöshet;7.77142857142857
Sex till tolv;2010;Arbetslöshet;9.457142857142856
Sex till tolv;2011;Arbetslöshet;9.114285714285716
Sex till tolv;2012;Arbetslöshet;9.171428571428573
Sex till tolv;2013;Arbetslöshet;9.242857142857144
Sex till tolv;2014;Arbetslöshet;8.828571428571427
Sex till tolv;2015;Arbetslöshet;8.3
Sex till tolv;2016;Arbetslöshet;8.142857142857142
Sex till tolv;2017;Arbetslöshet;8.142857142857142
Sex till tolv;2018;Arbetslöshet;7.914285714285713
Sex till tolv;2019;Arbetslöshet;7.571428571428571
Sex till tolv;2020;Arbetslöshet;8.342857142857143
Sex till tolv;2021;Arbetslöshet;9.028571428571428
Sex till tolv;2022;Arbetslöshet;7.571428571428572
Sex till tolv;2023;Arbetslöshet;7.028571428571428
Sex till tolv;2024;Arbetslöshet;7.328571428571429
Sex till tolv;2025;Arbetslöshet;7.800000000000002
Sex till tolv minus tio;2006;Arbetslöshet;8.116666666666667
Sex till tolv minus tio;2007;Arbetslöshet;6.533333333333334
Sex till tolv minus tio;2008;Arbetslöshet;5.733333333333333
Sex till tolv minus tio;2009;Arbetslöshet;7.333333333333333
Sex till tolv minus tio;2010;Arbetslöshet;9.033333333333331
Sex till tolv minus tio;2011;Arbetslöshet;8.616666666666667
Sex till tolv minus tio;2012;Arbetslöshet;8.633333333333331
Sex till tolv minus tio;2013;Arbetslöshet;8.649999999999999
Sex till tolv minus tio;2014;Arbetslöshet;8.166666666666666
Sex till tolv minus tio;2015;Arbetslöshet;7.6
Sex till tolv minus tio;2016;Arbetslöshet;7.466666666666666
Sex till tolv minus tio;2017;Arbetslöshet;7.433333333333333
Sex till tolv minus tio;2018;Arbetslöshet;7.3
Sex till tolv minus tio;2019;Arbetslöshet;7.066666666666666
Sex till tolv minus tio;2020;Arbetslöshet;7.899999999999999
Sex till tolv minus tio;2021;Arbetslöshet;8.65
Sex till tolv minus tio;2022;Arbetslöshet;7.2
Sex till tolv minus tio;2023;Arbetslöshet;6.699999999999999
Sex till tolv minus tio;2024;Arbetslöshet;7.033333333333332
Sex till tolv minus tio;2025;Arbetslöshet;7.483333333333333
Stockholm;2006;Arbetslöshet;5.9
Stockholm;2007;Arbetslöshet;5.0
Stockholm;2008;Arbetslöshet;4.1
Stockholm;2009;Arbetslöshet;5.2
Stockholm;2010;Arbetslöshet;6.9
Stockholm;2011;Arbetslöshet;6.8
Stockholm;2012;Arbetslöshet;6.6
Stockholm;2013;Arbetslöshet;7.0
Stockholm;2014;Arbetslöshet;6.7
Stockholm;2015;Arbetslöshet;6.4
Stockholm;2016;Arbetslöshet;6.1
Stockholm;2017;Arbetslöshet;6.0
Stockholm;2018;Arbetslöshet;5.9
Stockholm;2019;Arbetslöshet;5.7
Stockholm;2020;Arbetslöshet;6.8
Stockholm;2021;Arbetslöshet;8.2
Stockholm;2022;Arbetslöshet;6.5
Stockholm;2023;Arbetslöshet;6.0
Stockholm;2024;Arbetslöshet;6.7
Stockholm;2025;Arbetslöshet;7.2
Tolv största;2006;Arbetslöshet;8.308333333333334
Tolv största;2007;Arbetslöshet;6.7
Tolv största;2008;Arbetslöshet;5.775
Tolv största;2009;Arbetslöshet;7.458333333333333
Tolv största;2010;Arbetslöshet;9.383333333333333
Tolv största;2011;Arbetslöshet;9.058333333333334
Tolv största;2012;Arbetslöshet;9.025
Tolv största;2013;Arbetslöshet;9.175
Tolv största;2014;Arbetslöshet;8.749999999999998
Tolv största;2015;Arbetslöshet;8.3
Tolv största;2016;Arbetslöshet;8.141666666666666
Tolv största;2017;Arbetslöshet;8.058333333333332
Tolv största;2018;Arbetslöshet;7.833333333333332
Tolv största;2019;Arbetslöshet;7.533333333333334
Tolv största;2020;Arbetslöshet;8.316666666666666
Tolv största;2021;Arbetslöshet;9.225
Tolv största;2022;Arbetslöshet;7.724999999999999
Tolv största;2023;Arbetslöshet;7.141666666666668
Tolv största;2024;Arbetslöshet;7.458333333333333
Tolv största;2025;Arbetslöshet;7.908333333333332
Tolv största minus fem;2006;Arbetslöshet;8.363636363636363
Tolv största minus fem;2007;Arbetslöshet;6.736363636363635
Tolv största minus fem;2008;Arbetslöshet;5.781818181818181
Tolv största minus fem;2009;Arbetslöshet;7.481818181818181
Tolv största minus fem;2010;Arbetslöshet;9.4
Tolv största minus fem;2011;Arbetslöshet;9.081818181818182
Tolv största minus fem;2012;Arbetslöshet;9.072727272727272
Tolv största minus fem;2013;Arbetslöshet;9.245454545454548
Tolv största minus fem;2014;Arbetslöshet;8.881818181818181
Tolv största minus fem;2015;Arbetslöshet;8.454545454545455
Tolv största minus fem;2016;Arbetslöshet;8.318181818181817
Tolv största minus fem;2017;Arbetslöshet;8.245454545454544
Tolv största minus fem;2018;Arbetslöshet;8.009090909090908
Tolv största minus fem;2019;Arbetslöshet;7.690909090909091
Tolv största minus fem;2020;Arbetslöshet;8.490909090909092
Tolv största minus fem;2021;Arbetslöshet;9.436363636363636
Tolv största minus fem;2022;Arbetslöshet;7.881818181818181
Tolv största minus fem;2023;Arbetslöshet;7.272727272727274
Tolv största minus fem;2024;Arbetslöshet;7.6
Tolv största minus fem;2025;Arbetslöshet;8.063636363636364
Tre största;2006;Arbetslöshet;8.633333333333333
Tre största;2007;Arbetslöshet;6.833333333333333
Tre största;2008;Arbetslöshet;5.633333333333333
Tre största;2009;Arbetslöshet;7.633333333333333
Tre största;2010;Arbetslöshet;10.066666666666666
Tre största;2011;Arbetslöshet;9.833333333333334
Tre största;2012;Arbetslöshet;9.8
Tre största;2013;Arbetslöshet;10.3
Tre största;2014;Arbetslöshet;10.133333333333336
Tre största;2015;Arbetslöshet;9.833333333333334
Tre största;2016;Arbetslöshet;9.733333333333333
Tre största;2017;Arbetslöshet;9.333333333333334
Tre största;2018;Arbetslöshet;9.0
Tre största;2019;Arbetslöshet;8.733333333333334
Tre största;2020;Arbetslöshet;9.533333333333331
Tre största;2021;Arbetslöshet;11.0
Tre största;2022;Arbetslöshet;9.0
Tre största;2023;Arbetslöshet;8.233333333333334
Tre största;2024;Arbetslöshet;8.799999999999999
Tre största;2025;Arbetslöshet;9.266666666666667
Umeå;2006;Arbetslöshet;8.1
Umeå;2007;Arbetslöshet;6.2
Umeå;2008;Arbetslöshet;4.9
Umeå;2009;Arbetslöshet;6.8
Umeå;2010;Arbetslöshet;8.7
Umeå;2011;Arbetslöshet;7.7
Umeå;2012;Arbetslöshet;7.9
Umeå;2013;Arbetslöshet;7.3
Umeå;2014;Arbetslöshet;6.8
Umeå;2015;Arbetslöshet;5.9
Umeå;2016;Arbetslöshet;5.8
Umeå;2017;Arbetslöshet;5.3
Umeå;2018;Arbetslöshet;5.3
Umeå;2019;Arbetslöshet;5.0
Umeå;2020;Arbetslöshet;5.6
Umeå;2021;Arbetslöshet;6.3
Umeå;2022;Arbetslöshet;4.6
Umeå;2023;Arbetslöshet;3.9
Umeå;2024;Arbetslöshet;3.9
Umeå;2025;Arbetslöshet;4.2
Uppsala;2006;Arbetslöshet;6.1
Uppsala;2007;Arbetslöshet;4.9
Uppsala;2008;Arbetslöshet;3.9
Uppsala;2009;Arbetslöshet;5.0
Uppsala;2010;Arbetslöshet;7.0
Uppsala;2011;Arbetslöshet;6.6
Uppsala;2012;Arbetslöshet;6.2
Uppsala;2013;Arbetslöshet;6.1
Uppsala;2014;Arbetslöshet;5.5
Uppsala;2015;Arbetslöshet;5.4
Uppsala;2016;Arbetslöshet;5.3
Uppsala;2017;Arbetslöshet;5.7
Uppsala;2018;Arbetslöshet;5.7
Uppsala;2019;Arbetslöshet;5.4
Uppsala;2020;Arbetslöshet;6.4
Uppsala;2021;Arbetslöshet;7.6
Uppsala;2022;Arbetslöshet;6.7
Uppsala;2023;Arbetslöshet;6.1
Uppsala;2024;Arbetslöshet;5.9
Uppsala;2025;Arbetslöshet;6.3
Västerås;2006;Arbetslöshet;9.7
Västerås;2007;Arbetslöshet;7.8
Västerås;2008;Arbetslöshet;6.6
Västerås;2009;Arbetslöshet;8.5
Västerås;2010;Arbetslöshet;10.3
Västerås;2011;Arbetslöshet;10.2
Västerås;2012;Arbetslöshet;10.3
Västerås;2013;Arbetslöshet;10.4
Västerås;2014;Arbetslöshet;9.5
Västerås;2015;Arbetslöshet;8.7
Västerås;2016;Arbetslöshet;8.8
Västerås;2017;Arbetslöshet;9.1
Västerås;2018;Arbetslöshet;8.8
Västerås;2019;Arbetslöshet;8.4
Västerås;2020;Arbetslöshet;9.4
Västerås;2021;Arbetslöshet;10.5
Västerås;2022;Arbetslöshet;8.8
Västerås;2023;Arbetslöshet;8.1
Västerås;2024;Arbetslöshet;8.2
Västerås;2025;Arbetslöshet;9.1
Örebro;2006;Arbetslöshet;9.8
Örebro;2007;Arbetslöshet;8.2
Örebro;2008;Arbetslöshet;8.3
Örebro;2009;Arbetslöshet;8.7
Örebro;2010;Arbetslöshet;10.7
Örebro;2011;Arbetslöshet;9.8
Örebro;2012;Arbetslöshet;9.8
Örebro;2013;Arbetslöshet;9.9
Örebro;2014;Arbetslöshet;9.1
Örebro;2015;Arbetslöshet;8.2
Örebro;2016;Arbetslöshet;7.8
Örebro;2017;Arbetslöshet;7.6
Örebro;2018;Arbetslöshet;7.5
Örebro;2019;Arbetslöshet;7.6
Örebro;2020;Arbetslöshet;8.7
Örebro;2021;Arbetslöshet;9.5
Örebro;2022;Arbetslöshet;8.0
Örebro;2023;Arbetslöshet;7.4
Örebro;2024;Arbetslöshet;7.6
Örebro;2025;Arbetslöshet;7.7
Östergötlands län;2006;Arbetslöshet;8.6
Östergötlands län;2007;Arbetslöshet;7.0
Östergötlands län;2008;Arbetslöshet;6.4
Östergötlands län;2009;Arbetslöshet;8.3
Östergötlands län;2010;Arbetslöshet;10.3
Östergötlands län;2011;Arbetslöshet;10.0
Östergötlands län;2012;Arbetslöshet;10.0
Östergötlands län;2013;Arbetslöshet;10.1
Östergötlands län;2014;Arbetslöshet;9.6
