basområde,tid,Barnfattigdom,Behöriga gymnasiets yrkesprogram,Bilinnehav,Boende per hushåll,Bostadsrätt,Ej självförsörjande,Ekonomiskt bistånd totalt,Ensamstående hushåll,Flera bilar,Folkmängd,Förgymnasial utbildning,Förgymnasial utbildning kvinnor,Förgymnasial utbildning män,Förvärvsinkomst (tkr),Förvärvsinkomst (tkr) kvinnor,Förvärvsinkomst (tkr) män,Gini-koefficient,Gymnasieexamen inom 3-5 år,Hyresrätt,Ingår,Inskrivna arbetslösa,Inskrivna förskolebarn,Kvarboende minst ett år,Kvarboende minst fem år,Kvarboende minst tre år,Kvinnors andel förvärvsinkomst,Kvinnors andel nettoinkomst,Kvm per hushåll,Kvm per person,Kvot mellan dag- och nattbefolkning,Kvot mellan in- och utflyttning inom kommunen,Kvot mellan in- och utflyttning inom kommunen av förvärvsarbetande,Kvot mellan in-och utflyttning totalt,Kvot mellan inrikes in- och utflyttning av förvärvsarbetande,Kön,Låg ekonomisk standard,Låg inkomststandard,Lång eftergymnasial utbildning,Långvarigt ekonomiskt bistånd,Meritvärde grundskolan,Nettoinkomst (tkr),Nettoinkomst (tkr) kvinnor,Nettoinkomst (tkr) män,"Nettoinkomst, andel",Ohälsotal 50-64 år,Index: Samlat SEI (16 indikatorer),SEIsnitt medel,Skolungdomar 6-15 år,Små bostäder,Sysselsättningsgrad,Sysselsättningsgrad kvinnor,Sysselsättningsgrad män,Trångbodda hushåll,UVAS,Utländsk bakgrund,Utländsk bakgrund kvinnor,Utländsk bakgrund män,Utrikes födda,Valdeltagande,Äganderätt,Äldre 80+ år,Befolkning 0-19 år,Befolkning 20-64 år,Befolkning 65+ år,Befolkningsförändring,Bostadsrätter,Bostäder,Döda,Födda,Förgymnasial utb,Förvärvsarbetande dagbefolkning,Förvärvsarbetande nattbefolkning,Gymnasial utb,Hushåll,Hushåll ensamstående,Hushåll sammanboende,Hushåll övriga,Hyresrätter,Inflyttning,Inflyttning annat län,Inflyttning av förvärvsarbetande från annat basområde,Inflyttning egen kommun,Inflyttning inom länet,Invandring,Invånarantal,Kort eftergymnasial utb,Lång eftergymnasial utb,Nybyggda bostadsrätter,Nybyggda bostäder,Nybyggda hyresrätter,Nybyggda äganderätter,Uppgift saknas utb,Utflyttning,Utflyttning annat län,Utflyttning av förvärvsarbetande till annat basområde,Utflyttning egen kommun,Utflyttning inom länet,Utvandring,Äganderätter,Försörjningskvot,Nettopendling,Inrikes inflyttning,Inrikes utflyttning,Flyttningsnetto,Flyttningsnetto inom kommunen,Inrikes flyttningsnetto,Migrationsnetto,Födelseöverskott,Nettoflyttning förvärvsarbetande,Index: Ekonomisk Utsatthet,Index: Socialt & Humankapital,Index: Fysisk Bostadssegregation,Index: Demografisk Koncentration,KodNyko4,Stadsdelskod_(Nyko3),Stadsdel,Karaktär_bas,Karaktär_detalj,SEI_indikatorer16,Inkluderad,Områdestyp
Folkets Park,2015,4.0,83.3,68.3,2.07,34.375,21.2,0.0,34.4,11.3,409.0,5.652,5.072,3.571,375.9,330.7,405.6,0.362,85.0,29.2,1.0,1.4,86.0,74.271,10.978,19.039,81.534,74.02,86.4,41.7,0.257,20.9,18.833,17.0,11.909,50.611,3.7,2.0,47.826,0.0,257.0,301.3,260.7,352.2,134.329,11.5,3.75,4.0,8.313,21.3,90.0,88.393,91.525,4.3,10.2,10.513,11.618,11.489,8.802,86.929,36.458,8.068,79.0,230.0,100.0,250.0,73.0,208.0,3.0,4.0,13.0,57.0,222.0,64.0,192.0,66.0,123.0,3.0,65.0,255.0,31.0,113.0,209.0,15.0,0.0,409.0,41.0,110.0,51.0,124.0,57.0,16.0,2.0,15.0,5.0,6.0,10.0,0.0,0.0,70.0,0.778,-165.0,46.0,5.0,240.0,199.0,41.0,0.0,1.0,107.0,-1.309,-1.469,1.128,-0.466,1316.0,131.0,Gottfridsberg,Stadsdel,Yttre staden,4,1,Standard
Folkets Park,2016,3.6,83.3,68.3,2.07,38.261,21.2,0.3,36.5,11.3,476.0,4.317,5.072,3.571,369.6,327.7,414.9,0.359,86.0,30.4,1.0,1.4,82.0,74.271,10.978,19.039,78.983,76.737,86.4,41.7,0.134,3.407,4.0,3.25,3.143,50.63,7.2,2.0,45.683,0.0,232.0,274.5,238.5,310.8,119.608,11.5,3.786,4.0,7.143,21.3,85.252,84.783,85.714,4.3,10.2,11.555,11.618,11.489,9.664,86.929,31.304,7.773,90.0,278.0,108.0,67.0,93.0,239.0,2.0,9.0,12.0,33.0,247.0,77.0,230.0,84.0,142.0,4.0,74.0,117.0,18.0,56.0,92.0,3.0,4.0,476.0,55.0,127.0,42.0,50.0,8.0,16.0,7.0,36.0,9.0,14.0,27.0,0.0,0.0,72.0,0.712,-214.0,21.0,9.0,81.0,65.0,12.0,4.0,7.0,42.0,-1.025,-1.635,1.196,-0.4,1316.0,131.0,Gottfridsberg,Stadsdel,Yttre staden,4,1,Standard
Folkets Park,2017,2.7,83.3,65.8,2.1,48.561,21.3,0.2,38.5,13.3,583.0,3.693,4.023,3.371,383.1,335.9,420.9,0.401,79.0,25.5,1.0,1.4,87.0,74.271,10.978,19.039,79.805,77.577,83.8,39.9,0.172,3.188,3.588,3.357,3.636,50.429,6.3,2.0,47.443,0.0,237.0,280.2,240.8,310.4,118.729,13.7,3.938,4.0,7.204,23.4,84.091,81.034,87.079,4.3,10.2,12.35,13.605,11.073,9.434,86.929,25.54,7.719,119.0,352.0,112.0,107.0,226.0,371.0,3.0,11.0,13.0,53.0,309.0,94.0,278.0,107.0,164.0,7.0,74.0,141.0,23.0,61.0,102.0,12.0,4.0,583.0,69.0,167.0,55.0,55.0,8.0,16.0,9.0,42.0,2.0,17.0,32.0,5.0,3.0,71.0,0.656,-256.0,35.0,7.0,99.0,70.0,28.0,1.0,8.0,44.0,-1.068,-1.576,1.263,-0.435,1316.0,131.0,Gottfridsberg,Stadsdel,Yttre staden,4,1,Standard
Folkets Park,2018,5.6,100.0,63.5,2.05,59.945,18.1,0.7,39.8,11.3,741.0,3.448,3.03,3.863,386.0,341.8,423.2,0.371,79.0,20.4,1.0,2.2,86.0,68.151,8.232,37.787,80.766,80.172,82.5,40.3,0.127,2.966,3.0,2.913,2.837,50.067,6.5,2.0,48.922,0.3,208.0,297.7,260.8,325.3,122.209,23.2,3.75,4.0,6.343,22.9,85.56,85.281,85.837,6.6,8.1,15.52,15.364,15.676,11.876,87.09,19.613,7.287,138.0,464.0,139.0,158.0,226.0,372.0,4.0,10.0,16.0,52.0,411.0,124.0,362.0,144.0,203.0,15.0,75.0,233.0,35.0,108.0,175.0,15.0,8.0,741.0,86.0,227.0,78.0,78.0,8.0,16.0,11.0,80.0,15.0,36.0,59.0,5.0,1.0,71.0,0.597,-359.0,50.0,20.0,153.0,116.0,30.0,7.0,6.0,72.0,-1.348,-1.007,2.057,-0.087,1316.0,131.0,Gottfridsberg,Stadsdel,Yttre staden,4,1,Standard
Folkets Park,2019,2.1,100.0,65.0,2.02,64.778,20.0,0.7,41.9,7.9,821.0,2.569,2.8,2.344,399.3,363.4,438.0,0.349,85.0,17.7,1.0,1.5,88.0,77.223,11.449,41.169,82.968,81.365,81.9,40.5,0.147,1.571,1.773,1.586,1.763,49.574,5.6,2.0,48.617,0.3,237.0,294.1,269.4,331.1,116.475,16.3,4.188,4.0,7.308,23.6,84.19,85.6,82.813,5.7,4.4,16.078,15.971,16.184,12.058,87.09,17.488,6.699,159.0,506.0,156.0,80.0,289.0,434.0,5.0,21.0,13.0,66.0,448.0,138.0,406.0,170.0,228.0,8.0,74.0,176.0,27.0,78.0,121.0,22.0,6.0,821.0,95.0,246.0,63.0,63.0,8.0,16.0,14.0,111.0,21.0,44.0,77.0,11.0,2.0,71.0,0.623,-382.0,49.0,32.0,65.0,44.0,17.0,4.0,16.0,34.0,-1.867,-1.365,1.209,-0.079,1316.0,131.0,Gottfridsberg,Stadsdel,Yttre staden,4,1,Standard
Folkets Park,2020,3.9,100.0,63.3,2.03,65.714,22.2,0.6,42.9,8.6,852.0,2.657,3.358,1.931,396.0,357.1,440.6,0.382,92.0,17.1,1.0,2.1,84.0,83.803,28.286,46.831,81.049,78.973,81.5,40.1,0.132,1.35,1.3,1.221,1.183,49.883,6.8,2.0,48.197,0.1,275.0,293.0,256.9,325.3,114.587,16.8,3.667,4.0,7.864,24.0,81.025,81.343,80.695,6.2,6.2,18.545,19.294,17.799,13.732,87.09,17.143,5.751,174.0,527.0,151.0,31.0,289.0,435.0,6.0,17.0,14.0,60.0,453.0,132.0,420.0,180.0,227.0,13.0,74.0,116.0,24.0,52.0,81.0,6.0,5.0,852.0,110.0,254.0,63.0,63.0,8.0,16.0,17.0,95.0,22.0,40.0,60.0,13.0,0.0,72.0,0.617,-393.0,30.0,35.0,21.0,21.0,-5.0,5.0,11.0,12.0,-1.416,-1.282,0.872,0.171,1316.0,131.0,Gottfridsberg,Stadsdel,Yttre staden,4,1,Standard
Folkets Park,2021,6.6,100.0,62.0,2.02,65.33,23.0,0.4,44.3,8.3,857.0,3.39,4.089,2.672,410.9,377.9,451.5,0.35,82.0,17.5,1.0,1.8,76.0,82.03,30.455,53.676,83.699,79.697,81.4,40.2,0.123,0.922,1.191,0.925,1.069,50.175,8.7,2.0,49.529,0.4,262.0,310.3,273.2,342.8,115.568,17.8,3.75,4.0,7.585,24.5,80.603,80.669,80.534,5.0,4.9,20.537,20.698,20.375,15.053,87.09,17.217,5.368,175.0,531.0,151.0,5.0,289.0,436.0,4.0,18.0,18.0,56.0,456.0,130.0,424.0,188.0,224.0,12.0,74.0,135.0,18.0,56.0,94.0,14.0,9.0,857.0,105.0,263.0,63.0,63.0,8.0,16.0,15.0,146.0,25.0,47.0,102.0,19.0,0.0,73.0,0.614,-400.0,32.0,44.0,-11.0,-8.0,-12.0,9.0,14.0,9.0,-1.294,-1.125,0.943,0.364,1316.0,131.0,Gottfridsberg,Stadsdel,Yttre staden,4,1,Standard
Folkets Park,2022,12.7,100.0,62.1,2.04,65.632,24.3,0.4,44.4,8.1,852.0,3.795,4.264,3.346,421.6,388.4,466.1,0.379,69.0,16.9,1.0,1.8,88.0,86.972,35.563,60.915,83.33,79.613,81.8,40.2,0.119,0.817,0.755,0.843,0.831,50.117,9.7,2.4,51.613,0.4,253.0,323.1,288.2,362.0,115.641,13.9,3.813,4.0,8.568,24.1,82.732,81.783,83.643,5.0,4.8,21.127,21.311,20.941,15.258,84.781,17.422,5.869,172.0,527.0,153.0,-5.0,289.0,436.0,2.0,17.0,20.0,56.0,472.0,122.0,419.0,186.0,225.0,8.0,74.0,107.0,25.0,40.0,67.0,12.0,3.0,852.0,98.0,272.0,63.0,63.0,8.0,16.0,15.0,127.0,31.0,53.0,82.0,13.0,1.0,73.0,0.617,-416.0,37.0,44.0,-20.0,-15.0,-7.0,2.0,15.0,-13.0,-1.02,-1.377,0.501,0.383,1316.0,131.0,Gottfridsberg,Stadsdel,Yttre staden,4,1,Standard
Folkets Park,2023,7.6,100.0,63.3,1.96,65.647,21.9,0.87,47.1,8.7,833.0,3.675,3.644,3.704,462.0,416.2,512.2,0.327,69.0,17.2,1.0,2.4,89.0,86.194,44.058,62.305,81.257,77.955,81.5,41.6,0.113,0.68,0.787,0.823,0.9,48.86,7.2,2.4,52.224,0.29,226.0,348.8,308.0,395.1,118.639,12.2,4.125,4.0,8.403,24.0,83.946,83.401,84.444,4.5,4.1,21.128,21.622,20.657,14.766,84.781,17.176,6.483,157.0,517.0,159.0,-19.0,289.0,436.0,3.0,10.0,19.0,53.0,468.0,127.0,425.0,200.0,220.0,5.0,74.0,121.0,26.0,48.0,70.0,20.0,5.0,833.0,91.0,270.0,63.0,63.0,8.0,16.0,10.0,147.0,37.0,61.0,103.0,7.0,0.0,73.0,0.611,-415.0,46.0,44.0,-26.0,-33.0,2.0,5.0,7.0,-13.0,-1.235,-1.586,0.537,0.311,1316.0,131.0,Gottfridsberg,Stadsdel,Yttre staden,4,1,Standard
Folkets Park,2024,8.696,100.0,62.0,1.95,66.432,21.3,0.44,46.0,7.5,828.0,3.675,3.265,4.044,493.3,442.3,532.5,0.334,69.0,16.9,1.0,1.5,92.0,85.87,47.947,65.821,83.061,75.006,81.6,41.9,0.248,0.986,1.091,0.939,0.941,48.792,8.991,2.4,52.998,0.44,257.0,378.3,323.2,430.9,121.875,19.1,3.733,4.0,8.696,23.5,84.526,83.673,85.294,4.0,4.3,21.981,22.525,21.462,14.976,84.781,16.667,6.28,152.0,517.0,159.0,-5.0,289.0,434.0,6.0,8.0,19.0,114.0,460.0,122.0,426.0,196.0,222.0,8.0,74.0,108.0,24.0,48.0,72.0,10.0,2.0,828.0,90.0,274.0,63.0,63.0,8.0,16.0,12.0,115.0,27.0,44.0,73.0,14.0,1.0,71.0,0.602,-346.0,34.0,41.0,-7.0,-1.0,-7.0,1.0,2.0,4.0,-1.282,-1.149,0.495,0.359,1316.0,131.0,Gottfridsberg,Stadsdel,Yttre staden,4,1,Standard
Folkets Park,2025,8.696,100.0,61.6,1.91,66.351,21.3,0.44,45.5,8.5,805.0,2.93,2.146,3.584,493.3,442.3,532.5,0.334,69.0,16.8,1.0,2.056,92.0,89.441,51.18,68.696,83.061,75.006,81.7,42.8,0.248,0.913,1.057,0.78,0.881,47.702,8.991,2.4,52.344,0.44,257.0,378.3,323.2,430.9,121.875,23.0,3.667,4.0,9.068,23.7,84.526,83.673,85.294,3.3,4.3,21.615,21.875,21.378,15.155,84.781,16.825,7.205,133.0,512.0,160.0,-23.0,289.0,434.0,0.0,3.0,15.0,114.0,460.0,115.0,422.0,192.0,224.0,6.0,74.0,92.0,16.0,37.0,63.0,7.0,6.0,805.0,97.0,268.0,63.0,63.0,8.0,16.0,17.0,118.0,30.0,35.0,69.0,19.0,0.0,71.0,0.572,-346.0,23.0,49.0,-26.0,-6.0,-26.0,6.0,3.0,2.0,-1.221,-0.972,0.063,0.378,1316.0,131.0,Gottfridsberg,Stadsdel,Yttre staden,4,1,Standard
Folkungavallen,2015,,,31.1,1.48,,,,72.13,3.3,176.0,2.778,6.0,1.923,,,,,,74.6,1.0,,,,,,,,49.1,33.1,,6.813,10.714,10.211,14.375,51.136,,,41.667,,,,,,,20.6,2.143,,3.409,54.1,,,,4.9,,23.295,22.222,24.419,18.75,,,1.705,0.0,0.0,0.0,0.0,0.0,59.0,0.0,1.0,4.0,85.0,0.0,46.0,122.0,88.0,33.0,1.0,59.0,194.0,47.0,75.0,109.0,36.0,2.0,0.0,31.0,60.0,,134.0,134.0,,3.0,19.0,2.0,7.0,16.0,1.0,0.0,0.0,,85.0,83.0,3.0,175.0,93.0,80.0,2.0,1.0,68.0,0.0,-1.444,5.279,1.09,1336.0,133.0,Innerstaden,Stadsdel,Inre staden,3,1,Standard
Folkungavallen,2016,,,31.1,1.48,,,,72.13,3.3,176.0,2.778,6.0,1.923,,,,,,74.6,1.0,,,,,,,,49.1,33.1,,6.813,10.714,10.211,14.375,51.136,,,41.667,,,,,,,20.6,2.143,,3.409,54.1,,,,4.9,,23.295,22.222,24.419,18.75,,,1.705,0.0,0.0,0.0,0.0,0.0,59.0,0.0,1.0,4.0,85.0,0.0,46.0,122.0,88.0,33.0,1.0,59.0,194.0,47.0,75.0,109.0,36.0,2.0,0.0,31.0,60.0,,134.0,134.0,,3.0,19.0,2.0,7.0,16.0,1.0,0.0,0.0,,85.0,83.0,3.0,175.0,93.0,80.0,2.0,1.0,68.0,0.0,-1.357,5.344,1.015,1336.0,133.0,Innerstaden,Stadsdel,Inre staden,3,1,Standard
Folkungavallen,2017,,,31.1,1.48,,,,72.13,3.3,176.0,2.778,7.843,5.66,,,,,,74.6,1.0,,,,,,,,49.1,33.1,,6.813,10.714,10.211,14.375,51.136,,,41.667,,,,,,,20.9,2.143,,3.409,54.1,,,,4.9,,23.295,22.222,24.419,18.75,,,1.705,0.0,0.0,0.0,0.0,0.0,59.0,0.0,1.0,4.0,88.0,0.0,46.0,122.0,88.0,33.0,1.0,59.0,194.0,47.0,75.0,109.0,36.0,2.0,0.0,31.0,60.0,,134.0,134.0,,3.0,19.0,2.0,7.0,16.0,1.0,0.0,0.0,,88.0,83.0,3.0,175.0,93.0,80.0,2.0,1.0,68.0,0.0,-1.254,5.352,0.918,1336.0,133.0,Innerstaden,Stadsdel,Inre staden,3,1,Standard
Folkungavallen,2018,,,31.1,1.48,,,,72.13,3.3,176.0,2.778,7.843,5.66,,,,,,74.6,1.0,,,,,,,,49.1,33.1,,6.813,10.714,10.211,14.375,51.136,,,41.667,,,,,,,20.9,2.143,,3.409,54.1,,,,4.9,,23.295,22.222,24.419,18.75,,,1.705,0.0,0.0,0.0,0.0,0.0,59.0,0.0,1.0,4.0,58.0,0.0,46.0,122.0,88.0,33.0,1.0,59.0,194.0,47.0,75.0,109.0,36.0,2.0,0.0,31.0,60.0,,134.0,134.0,,3.0,19.0,2.0,7.0,16.0,1.0,0.0,0.0,,58.0,83.0,3.0,175.0,93.0,80.0,2.0,1.0,68.0,0.0,-1.248,5.394,0.887,1336.0,133.0,Innerstaden,Stadsdel,Inre staden,3,1,Standard
Folkungavallen,2019,,,31.1,1.48,,,,72.13,3.3,176.0,2.778,7.843,5.66,,,,,,74.6,1.0,,,,,,,,49.1,33.1,,6.813,10.714,10.211,14.375,51.136,,,41.667,,,,,,,20.9,2.143,,3.409,54.1,,,,4.9,,23.295,22.222,24.419,18.75,,,1.705,0.0,0.0,0.0,0.0,0.0,59.0,0.0,1.0,4.0,73.0,0.0,46.0,122.0,88.0,33.0,1.0,59.0,194.0,47.0,75.0,109.0,36.0,2.0,0.0,31.0,60.0,,134.0,134.0,,3.0,19.0,2.0,7.0,16.0,1.0,0.0,0.0,,73.0,83.0,3.0,175.0,93.0,80.0,2.0,1.0,68.0,0.0,-1.2,5.403,0.845,1336.0,133.0,Innerstaden,Stadsdel,Inre staden,3,1,Standard
Folkungavallen,2020,,,31.1,1.48,,,,72.13,3.3,176.0,2.778,7.843,5.66,,,,,,74.6,1.0,,,,,,,,49.1,33.1,,6.813,10.714,10.211,14.375,51.136,,,41.667,,,,,,,20.9,2.143,,3.409,54.1,,,,4.9,,23.295,22.222,24.419,18.75,,,1.705,0.0,0.0,0.0,0.0,0.0,59.0,0.0,1.0,4.0,57.0,0.0,46.0,122.0,88.0,33.0,1.0,59.0,194.0,47.0,75.0,109.0,36.0,2.0,0.0,31.0,60.0,,134.0,134.0,,3.0,19.0,2.0,7.0,16.0,1.0,0.0,0.0,,57.0,83.0,3.0,175.0,93.0,80.0,2.0,1.0,68.0,0.0,-1.145,5.367,0.824,1336.0,133.0,Innerstaden,Stadsdel,Inre staden,3,1,Standard
Folkungavallen,2021,,,31.1,1.48,,,,72.13,3.3,176.0,2.778,7.843,5.66,,,,,,74.6,1.0,,,,,,,,49.1,33.1,,6.813,10.714,10.211,14.375,51.136,,,41.667,,,,,,,20.9,2.143,,3.409,54.1,,,,4.9,,23.295,22.222,24.419,18.75,,,1.705,0.0,0.0,0.0,0.0,0.0,59.0,0.0,1.0,4.0,54.0,0.0,46.0,122.0,88.0,33.0,1.0,59.0,194.0,47.0,75.0,109.0,36.0,2.0,0.0,31.0,60.0,,134.0,134.0,,3.0,19.0,2.0,7.0,16.0,1.0,0.0,0.0,,54.0,83.0,3.0,175.0,93.0,80.0,2.0,1.0,68.0,0.0,-1.118,5.351,0.803,1336.0,133.0,Innerstaden,Stadsdel,Inre staden,3,1,Standard
Folkungavallen,2022,,,31.1,1.48,,,,72.13,3.3,176.0,2.778,7.843,5.66,,,,,,74.6,1.0,,,,,,,,49.1,33.1,,6.813,10.714,10.211,14.375,51.136,,,41.667,,,,,,,20.9,2.143,,3.409,54.1,,,,4.9,,23.295,22.222,24.419,18.75,,,1.705,0.0,0.0,0.0,0.0,0.0,59.0,0.0,1.0,4.0,53.0,0.0,46.0,122.0,88.0,33.0,1.0,59.0,194.0,47.0,75.0,109.0,36.0,2.0,0.0,31.0,60.0,,134.0,134.0,,3.0,19.0,2.0,7.0,16.0,1.0,0.0,0.0,,53.0,83.0,3.0,175.0,93.0,80.0,2.0,1.0,68.0,0.0,-1.118,5.355,0.77,1336.0,133.0,Innerstaden,Stadsdel,Inre staden,3,1,Standard
Folkungavallen,2023,,,31.1,1.48,,,,72.13,3.3,176.0,2.778,7.843,5.66,,,,,,74.6,1.0,,,,,,,,49.1,33.1,,6.813,10.714,10.211,14.375,51.136,,,41.667,,,,,,,20.9,2.143,,3.409,54.1,,,,4.9,,23.295,22.222,24.419,18.75,,,1.705,0.0,0.0,0.0,0.0,0.0,59.0,0.0,1.0,4.0,113.0,0.0,46.0,122.0,88.0,33.0,1.0,59.0,194.0,47.0,75.0,109.0,36.0,2.0,0.0,31.0,60.0,,134.0,134.0,,3.0,19.0,2.0,7.0,16.0,1.0,0.0,0.0,,113.0,83.0,3.0,175.0,93.0,80.0,2.0,1.0,68.0,0.0,-1.139,5.357,0.725,1336.0,133.0,Innerstaden,Stadsdel,Inre staden,3,1,Standard
Folkungavallen,2024,,,31.1,1.48,,,,72.13,3.3,176.0,2.778,7.843,5.66,,,,,,74.6,1.0,,,,,,,,49.1,33.1,,6.813,10.714,10.211,14.375,51.136,,,41.667,,,,,,,20.9,2.143,,3.409,54.1,,,,4.9,,23.295,22.222,24.419,18.75,,,1.705,0.0,0.0,0.0,0.0,0.0,59.0,0.0,1.0,4.0,95.0,0.0,46.0,122.0,88.0,33.0,1.0,59.0,194.0,47.0,75.0,109.0,36.0,2.0,0.0,31.0,60.0,,134.0,134.0,,3.0,19.0,2.0,7.0,16.0,1.0,0.0,0.0,,95.0,83.0,3.0,175.0,93.0,80.0,2.0,1.0,68.0,0.0,-1.133,5.292,0.705,1336.0,133.0,Innerstaden,Stadsdel,Inre staden,3,1,Standard
Folkungavallen,2025,,,31.1,1.48,,,,72.13,3.3,176.0,2.778,0.0,5.405,,,,,,74.6,1.0,,,,,,,,49.1,33.1,,6.813,10.714,10.211,14.375,51.136,,,41.667,,,,,,,50.4,2.143,,3.409,54.1,,,,4.9,,23.295,22.222,24.419,18.75,,,1.705,17.0,144.0,15.0,176.0,0.0,133.0,0.0,1.0,4.0,95.0,0.0,46.0,122.0,88.0,33.0,1.0,133.0,194.0,47.0,75.0,109.0,36.0,2.0,176.0,31.0,60.0,,134.0,134.0,,3.0,19.0,2.0,7.0,16.0,1.0,0.0,0.0,0.222,95.0,83.0,3.0,175.0,93.0,80.0,2.0,1.0,68.0,0.0,0.54,5.377,0.743,1336.0,133.0,Innerstaden,Stadsdel,Inre staden,3,1,Standard
Fridhem,2015,25.0,100.0,46.8,1.69,40.133,32.5,2.6,67.5,6.1,1339.0,5.462,3.74,5.276,252.7,231.2,292.2,0.34,42.5,58.4,1.0,3.6,87.0,76.448,38.6,52.37,79.124,79.495,71.5,42.3,0.099,0.867,0.654,0.924,0.693,49.739,22.1,7.7,40.715,0.9,246.0,187.9,173.3,218.0,83.772,38.0,3.375,3.0,2.39,56.4,67.13,66.951,67.286,9.9,4.2,13.518,11.701,12.422,10.306,86.929,0.111,5.527,100.0,1007.0,232.0,-29.0,404.0,977.0,12.0,14.0,55.0,69.0,699.0,270.0,902.0,609.0,237.0,56.0,572.0,267.0,73.0,70.0,156.0,23.0,15.0,1339.0,260.0,410.0,,128.0,128.0,,12.0,289.0,81.0,107.0,180.0,25.0,3.0,1.0,0.33,-630.0,96.0,106.0,-22.0,-24.0,-10.0,12.0,2.0,-37.0,0.527,-0.723,5.607,-0.161,1314.0,131.0,Gottfridsberg,Stadsdel,Inre staden,3,1,Standard
Fridhem,2016,20.9,83.3,46.8,1.69,42.024,35.7,3.0,67.2,6.1,1354.0,5.437,2.76,5.755,267.1,229.9,304.2,0.349,84.5,56.1,1.0,3.3,87.0,76.448,38.6,52.37,75.575,79.207,71.5,42.3,0.082,0.91,0.856,0.933,0.878,48.523,18.9,7.7,40.971,1.6,223.5,194.7,177.9,224.6,84.837,35.8,3.063,3.0,2.733,56.4,69.126,69.167,69.091,9.9,4.2,14.18,12.57,13.214,11.152,86.929,0.11,5.318,90.0,1030.0,234.0,15.0,426.0,1000.0,2.0,17.0,56.0,60.0,731.0,264.0,909.0,611.0,245.0,53.0,573.0,280.0,71.0,89.0,172.0,29.0,8.0,1354.0,269.0,422.0,,128.0,128.0,,19.0,300.0,90.0,104.0,189.0,15.0,6.0,1.0,0.315,-671.0,100.0,105.0,-20.0,-17.0,-5.0,2.0,15.0,-15.0,0.692,-0.672,5.586,-0.123,1314.0,131.0,Gottfridsberg,Stadsdel,Inre staden,3,1,Standard
Fridhem,2017,23.6,91.7,46.0,1.7,43.575,34.6,3.2,66.9,4.8,1329.0,5.923,3.146,6.096,281.9,235.3,318.6,0.326,81.0,55.0,1.0,3.6,79.0,76.448,38.6,52.37,73.854,76.992,71.8,42.3,0.089,0.807,0.801,0.924,0.91,48.683,19.2,7.7,40.869,1.0,243.5,202.2,180.7,234.7,85.678,34.9,3.0,3.0,2.935,55.5,69.2,66.953,71.115,9.9,4.2,14.597,13.489,12.834,11.512,86.929,0.112,5.041,93.0,1013.0,223.0,-25.0,426.0,1000.0,7.0,9.0,60.0,64.0,722.0,262.0,895.0,599.0,233.0,63.0,573.0,330.0,77.0,113.0,196.0,38.0,19.0,1329.0,260.0,414.0,,128.0,128.0,,17.0,357.0,72.0,141.0,243.0,35.0,7.0,1.0,0.312,-658.0,115.0,107.0,-27.0,-47.0,8.0,12.0,2.0,-28.0,0.487,-0.512,5.553,-0.145,1314.0,131.0,Gottfridsberg,Stadsdel,Inre staden,3,1,Standard
Fridhem,2018,24.4,91.7,46.3,1.69,45.034,35.1,2.9,68.2,5.7,1308.0,5.567,3.209,5.766,283.5,238.9,334.5,0.327,77.0,53.2,1.0,3.9,83.5,76.453,37.232,50.841,71.42,77.163,72.1,42.8,0.071,0.737,0.739,0.902,0.893,48.777,18.8,7.7,42.105,1.3,224.0,209.0,188.2,243.9,85.796,35.2,3.0,3.0,2.905,54.1,70.445,68.547,72.106,8.6,4.7,14.679,13.356,13.275,11.774,90.85,0.113,5.199,99.0,988.0,221.0,-21.0,449.0,1004.0,5.0,15.0,55.0,51.0,721.0,262.0,886.0,604.0,232.0,50.0,554.0,303.0,67.0,113.0,182.0,42.0,12.0,1308.0,240.0,416.0,,128.0,128.0,,15.0,336.0,57.0,153.0,247.0,26.0,6.0,1.0,0.324,-670.0,109.0,83.0,-33.0,-65.0,26.0,6.0,10.0,-40.0,0.699,-0.971,5.237,-0.147,1314.0,131.0,Gottfridsberg,Stadsdel,Inre staden,3,1,Standard
Fridhem,2019,39.0,75.0,45.6,1.67,45.262,34.3,2.9,69.1,5.3,1316.0,5.263,2.703,6.088,296.3,266.4,325.3,0.343,92.5,52.8,1.0,4.1,83.5,75.228,36.246,48.024,81.894,79.902,71.7,42.8,0.104,1.01,0.85,1.0,0.91,48.632,21.0,7.7,41.397,1.3,242.0,217.9,195.2,244.3,86.297,33.7,3.0,3.0,2.736,54.8,69.231,69.365,69.115,9.6,3.7,15.729,14.318,14.007,12.386,90.85,0.111,5.471,110.0,988.0,218.0,8.0,449.0,1005.0,9.0,17.0,52.0,74.0,709.0,254.0,897.0,620.0,218.0,59.0,555.0,305.0,73.0,96.0,198.0,23.0,11.0,1316.0,252.0,409.0,,128.0,128.0,,21.0,305.0,79.0,113.0,196.0,25.0,5.0,1.0,0.332,-635.0,96.0,104.0,0.0,2.0,-8.0,6.0,8.0,-17.0,0.736,-0.972,5.679,-0.076,1314.0,131.0,Gottfridsberg,Stadsdel,Inre staden,3,1,Standard
