basområde,tid,Barnfattigdom,Behöriga gymnasiets yrkesprogram,Bilinnehav,Boende per hushåll,Bostadsrätt,Ej självförsörjande,Ekonomiskt bistånd totalt,Ensamstående hushåll,Flera bilar,Folkmängd,Förgymnasial utbildning,Förgymnasial utbildning kvinnor,Förgymnasial utbildning män,Förvärvsinkomst (tkr),Förvärvsinkomst (tkr) kvinnor,Förvärvsinkomst (tkr) män,Gini-koefficient,Gymnasieexamen inom 3-5 år,Hyresrätt,Ingår,Inskrivna arbetslösa,Inskrivna förskolebarn,Kvarboende minst ett år,Kvarboende minst fem år,Kvarboende minst tre år,Kvinnors andel förvärvsinkomst,Kvinnors andel nettoinkomst,Kvm per hushåll,Kvm per person,Kvot mellan dag- och nattbefolkning,Kvot mellan in- och utflyttning inom kommunen,Kvot mellan in- och utflyttning inom kommunen av förvärvsarbetande,Kvot mellan in-och utflyttning totalt,Kvot mellan inrikes in- och utflyttning av förvärvsarbetande,Kön,Låg ekonomisk standard,Låg inkomststandard,Lång eftergymnasial utbildning,Långvarigt ekonomiskt bistånd,Meritvärde grundskolan,Nettoinkomst (tkr),Nettoinkomst (tkr) kvinnor,Nettoinkomst (tkr) män,"Nettoinkomst, andel",Ohälsotal 50-64 år,Index: Samlat SEI (16 indikatorer),SEIsnitt medel,Skolungdomar 6-15 år,Små bostäder,Sysselsättningsgrad,Sysselsättningsgrad kvinnor,Sysselsättningsgrad män,Trångbodda hushåll,UVAS,Utländsk bakgrund,Utländsk bakgrund kvinnor,Utländsk bakgrund män,Utrikes födda,Valdeltagande,Äganderätt,Äldre 80+ år,Befolkning 0-19 år,Befolkning 20-64 år,Befolkning 65+ år,Befolkningsförändring,Bostadsrätter,Bostäder,Döda,Födda,Förgymnasial utb,Förvärvsarbetande dagbefolkning,Förvärvsarbetande nattbefolkning,Gymnasial utb,Hushåll,Hushåll ensamstående,Hushåll sammanboende,Hushåll övriga,Hyresrätter,Inflyttning,Inflyttning annat län,Inflyttning av förvärvsarbetande från annat basområde,Inflyttning egen kommun,Inflyttning inom länet,Invandring,Invånarantal,Kort eftergymnasial utb,Lång eftergymnasial utb,Nybyggda bostadsrätter,Nybyggda bostäder,Nybyggda hyresrätter,Nybyggda äganderätter,Uppgift saknas utb,Utflyttning,Utflyttning annat län,Utflyttning av förvärvsarbetande till annat basområde,Utflyttning egen kommun,Utflyttning inom länet,Utvandring,Äganderätter,Försörjningskvot,Nettopendling,Inrikes inflyttning,Inrikes utflyttning,Flyttningsnetto,Flyttningsnetto inom kommunen,Inrikes flyttningsnetto,Migrationsnetto,Födelseöverskott,Nettoflyttning förvärvsarbetande,Index: Ekonomisk Utsatthet,Index: Socialt & Humankapital,Index: Fysisk Bostadssegregation,Index: Demografisk Koncentration,KodNyko4,Stadsdelskod_(Nyko3),Stadsdel,Karaktär_bas,Karaktär_detalj,SEI_indikatorer16,Inkluderad,Områdestyp
Alsätter västra,2025,63.636,66.667,10.7,1.41,,84.9,3.12,75.99,1.7,4155.0,5.203,6.127,4.592,78.2,71.2,82.5,0.344,62.0,98.7,1.0,4.079,75.0,64.813,17.088,29.531,86.303,101.91,37.4,26.6,0.359,0.728,0.486,0.979,1.111,41.203,61.654,23.1,29.39,1.49,176.0,175.0,176.1,172.8,56.379,57.2,1.75,2.0,5.728,81.9,30.767,29.475,31.638,5.5,5.1,52.732,55.491,50.798,41.974,57.053,,0.722,571.0,3440.0,144.0,-33.0,0.0,3439.0,11.0,19.0,179.0,397.0,1105.0,577.0,2824.0,2146.0,435.0,243.0,3439.0,1817.0,678.0,105.0,874.0,73.0,192.0,4155.0,1468.0,1011.0,,28.0,28.0,,205.0,1856.0,484.0,216.0,1201.0,94.0,77.0,0.0,0.208,-708.0,751.0,578.0,-39.0,-327.0,173.0,115.0,8.0,-111.0,7.185,4.847,11.118,4.233,1112.0,111.0,Ryd,Stadsdel,Yttre staden,2,1,Studentområde
Alsätter östra,2015,70.3,71.4,38.0,2.25,,57.5,15.5,53.5,6.7,1502.0,19.063,21.04,17.505,173.5,123.3,200.1,0.284,42.0,99.9,1.0,11.5,75.0,79.071,36.494,54.807,61.619,86.129,71.9,31.9,0.139,0.88,0.522,0.914,0.583,45.406,45.3,16.6,34.063,7.8,164.0,155.7,145.3,168.7,69.416,98.8,1.313,1.0,11.119,11.0,49.375,43.735,53.818,23.7,12.6,49.001,54.399,44.512,36.684,75.547,,3.395,375.0,960.0,167.0,-1.0,0.0,736.0,10.0,35.0,183.0,68.0,488.0,250.0,710.0,380.0,231.0,99.0,736.0,297.0,63.0,47.0,198.0,14.0,22.0,1502.0,180.0,327.0,,,,,20.0,325.0,75.0,90.0,225.0,21.0,4.0,0.0,0.565,-420.0,77.0,96.0,-28.0,-27.0,-19.0,18.0,25.0,-43.0,7.833,4.996,7.253,4.067,1113.0,111.0,Ryd,Stadsdel,Yttre staden,1,1,Standard
Alsätter östra,2016,69.5,45.5,38.0,2.25,,55.7,13.0,53.0,6.7,1502.0,18.298,21.065,16.129,181.3,147.3,224.2,0.3,42.0,99.7,1.0,11.8,79.0,79.071,36.494,54.807,65.7,82.702,71.9,31.9,0.123,0.891,0.892,0.927,0.847,45.939,43.5,16.6,34.149,6.9,144.0,159.7,150.6,182.1,69.586,102.7,1.375,1.0,10.453,11.0,54.787,47.7,60.342,23.7,12.6,51.065,55.797,47.044,37.816,75.547,,3.063,383.0,940.0,179.0,0.0,0.0,736.0,10.0,32.0,172.0,66.0,537.0,252.0,706.0,374.0,240.0,92.0,736.0,281.0,66.0,66.0,171.0,23.0,21.0,1502.0,167.0,321.0,,,,,28.0,303.0,65.0,74.0,192.0,29.0,17.0,0.0,0.598,-471.0,89.0,94.0,-22.0,-21.0,-5.0,4.0,22.0,-8.0,7.518,5.237,7.331,4.186,1113.0,111.0,Ryd,Stadsdel,Yttre staden,1,1,Standard
Alsätter östra,2017,70.2,77.8,36.4,2.26,,56.6,14.7,54.1,6.2,1529.0,19.767,22.328,17.714,190.9,160.1,228.2,0.296,53.0,99.6,1.0,12.5,78.0,79.071,36.494,54.807,70.158,85.913,71.9,31.9,0.133,1.01,0.72,1.013,0.707,45.716,46.1,16.6,30.338,8.6,177.0,163.8,154.3,179.6,69.407,90.9,1.438,1.0,11.772,11.2,53.594,47.031,58.857,23.7,12.6,54.415,58.941,50.602,39.111,75.547,,3.139,405.0,946.0,178.0,27.0,0.0,736.0,11.0,34.0,187.0,69.0,517.0,274.0,714.0,386.0,231.0,97.0,736.0,316.0,47.0,72.0,211.0,32.0,26.0,1529.0,161.0,287.0,,,,,37.0,312.0,61.0,100.0,209.0,35.0,7.0,0.0,0.616,-448.0,79.0,96.0,4.0,2.0,-17.0,19.0,23.0,-28.0,7.947,5.295,7.418,4.325,1113.0,111.0,Ryd,Stadsdel,Yttre staden,1,1,Standard
Alsätter östra,2018,70.8,87.5,35.2,2.32,,53.7,15.2,56.4,6.4,1584.0,21.444,25.227,18.217,209.8,172.8,248.2,0.296,63.0,99.4,1.0,12.5,79.0,81.25,37.879,56.692,69.621,85.344,71.6,30.8,0.112,1.034,0.738,1.143,0.795,46.907,45.2,16.6,29.079,9.4,192.0,171.4,161.3,189.0,70.361,80.0,1.563,1.0,12.5,11.8,55.858,47.5,62.984,25.1,13.4,58.144,61.777,54.935,41.288,73.092,,3.093,445.0,956.0,183.0,55.0,0.0,737.0,11.0,28.0,205.0,62.0,552.0,280.0,721.0,407.0,222.0,92.0,737.0,312.0,48.0,59.0,185.0,55.0,24.0,1584.0,156.0,278.0,,,,,37.0,273.0,67.0,80.0,179.0,17.0,10.0,0.0,0.657,-490.0,103.0,84.0,39.0,6.0,19.0,14.0,17.0,-21.0,8.468,6.121,7.617,4.661,1113.0,111.0,Ryd,Stadsdel,Yttre staden,1,1,Standard
Alsätter östra,2019,72.6,44.4,36.3,2.38,,51.9,15.2,53.6,7.1,1613.0,23.109,26.531,20.229,226.8,182.6,282.5,0.312,65.0,99.7,1.0,10.4,76.0,82.827,41.476,57.595,64.637,77.364,71.9,30.3,0.119,1.041,1.265,1.004,1.059,46.373,49.5,16.6,27.15,9.4,138.0,178.6,157.9,204.1,70.733,74.2,1.313,1.0,12.709,11.2,60.829,54.422,66.221,26.9,13.3,58.834,62.834,55.376,40.98,73.092,,3.038,463.0,965.0,185.0,29.0,0.0,737.0,7.0,34.0,223.0,73.0,614.0,298.0,714.0,383.0,230.0,101.0,737.0,283.0,35.0,86.0,202.0,23.0,23.0,1613.0,145.0,262.0,,,,,37.0,282.0,68.0,68.0,194.0,16.0,4.0,0.0,0.672,-541.0,58.0,84.0,1.0,8.0,-26.0,19.0,27.0,18.0,8.28,6.287,7.8,4.622,1113.0,111.0,Ryd,Stadsdel,Yttre staden,1,1,Standard
Alsätter östra,2020,74.0,72.7,38.5,2.39,,51.7,14.4,56.4,7.5,1579.0,23.093,26.984,19.767,237.6,193.2,293.8,0.288,54.0,99.3,1.0,13.2,79.0,82.711,42.495,59.721,65.759,79.024,71.7,30.0,0.136,0.853,0.885,0.817,0.81,46.295,48.9,16.6,24.66,8.5,178.0,186.9,168.4,213.1,73.093,71.3,1.375,1.0,12.286,11.5,58.098,52.381,62.984,25.7,19.2,60.165,62.244,58.373,42.875,73.092,,3.357,444.0,957.0,178.0,-34.0,0.0,737.0,6.0,35.0,221.0,79.0,579.0,318.0,711.0,401.0,211.0,99.0,737.0,286.0,40.0,85.0,209.0,26.0,11.0,1579.0,140.0,236.0,,,,,42.0,350.0,61.0,96.0,245.0,36.0,8.0,0.0,0.65,-500.0,66.0,97.0,-64.0,-36.0,-31.0,3.0,29.0,-11.0,8.968,6.322,7.514,4.816,1113.0,111.0,Ryd,Stadsdel,Yttre staden,1,1,Standard
Alsätter östra,2021,65.2,56.3,38.3,2.33,,48.8,14.0,58.1,7.2,1544.0,22.292,24.648,20.381,253.5,221.3,285.2,0.294,58.0,99.3,1.0,16.7,72.0,79.339,41.062,57.06,77.595,82.741,71.8,30.8,0.144,1.037,0.975,0.871,0.831,45.596,43.9,16.6,23.659,8.5,148.0,196.7,179.3,216.7,73.259,64.1,1.188,1.0,12.824,11.5,60.673,54.695,65.524,24.8,15.0,61.01,62.926,59.405,43.718,73.092,,3.238,421.0,951.0,172.0,-35.0,0.0,737.0,16.0,25.0,212.0,87.0,606.0,322.0,713.0,414.0,203.0,96.0,737.0,311.0,37.0,77.0,226.0,23.0,25.0,1544.0,152.0,225.0,,,,,40.0,357.0,60.0,79.0,218.0,59.0,20.0,0.0,0.624,-519.0,60.0,119.0,-46.0,8.0,-59.0,5.0,9.0,-2.0,7.786,6.156,7.696,4.923,1113.0,111.0,Ryd,Stadsdel,Yttre staden,1,1,Standard
Alsätter östra,2022,65.2,53.8,40.1,2.32,,46.8,12.1,57.9,7.6,1533.0,21.757,23.799,20.039,264.8,223.0,298.6,0.309,50.0,99.4,1.0,13.3,74.0,79.843,41.422,56.36,74.682,82.643,71.6,30.9,0.137,0.873,0.774,0.903,0.759,46.119,42.3,17.1,23.326,8.6,148.0,208.9,187.6,227.0,74.767,63.5,1.188,1.0,12.59,11.8,63.494,56.293,69.557,24.2,16.3,63.209,65.488,61.259,45.662,62.53,,3.523,395.0,956.0,182.0,-11.0,0.0,737.0,6.0,19.0,208.0,87.0,636.0,328.0,710.0,411.0,210.0,89.0,737.0,299.0,50.0,72.0,185.0,44.0,20.0,1533.0,154.0,223.0,,,,,43.0,331.0,58.0,93.0,212.0,30.0,31.0,0.0,0.604,-549.0,94.0,88.0,-32.0,-27.0,6.0,-11.0,13.0,-21.0,7.882,6.282,7.595,5.158,1113.0,111.0,Ryd,Stadsdel,Yttre staden,1,1,Standard
Alsätter östra,2023,66.2,71.4,39.8,2.31,,46.3,10.33,58.8,6.3,1522.0,20.921,23.333,18.775,271.6,229.6,316.0,0.294,50.0,99.6,1.0,13.4,75.0,78.055,40.802,53.811,72.658,83.89,71.6,31.0,0.113,1.059,1.0,0.973,0.957,47.109,42.6,16.4,24.372,6.2,163.0,218.2,198.4,236.5,74.218,57.5,1.313,1.0,12.812,11.8,65.69,58.444,72.134,23.2,10.4,63.403,65.132,61.863,46.124,62.53,,3.285,389.0,956.0,177.0,-11.0,0.0,741.0,16.0,15.0,200.0,74.0,655.0,332.0,711.0,418.0,218.0,75.0,741.0,287.0,32.0,100.0,216.0,21.0,18.0,1522.0,157.0,233.0,,,,,34.0,295.0,47.0,100.0,204.0,27.0,17.0,0.0,0.592,-581.0,53.0,74.0,-8.0,12.0,-21.0,1.0,-1.0,0.0,7.456,6.336,7.879,5.073,1113.0,111.0,Ryd,Stadsdel,Yttre staden,1,1,Standard
