År;Månad;Rapportvy;Autogenererad_Fakta;Färdig_Analystext;Robot_Fakta
2023;1;Befolkning;I januari 2023 uppgick folkmängden i Linköping till 166 698. Det innebär en förändring med +25 personer jämfört med föregående månad  och +1199 personer jämfört med samma månad föregående år. Under månaden föddes 122 barn och 140 personer avled (födelsenetto -18). Samtidigt var kommunens totala flyttnetto +34 personer.;I januari 2023 uppgick folkmängden i Linköping till 166 698. Det innebär en förändring med +25 personer jämfört med föregående månad  och +1199 personer jämfört med samma månad föregående år. Under månaden föddes 122 barn och 140 personer avled (födelsenetto -18). Samtidigt var kommunens totala flyttnetto +34 personer.;A
2023;2;Befolkning;I februari 2023 uppgick folkmängden i Linköping till 166 794. Det innebär en förändring med +96 personer jämfört med föregående månad  och +1321 personer jämfört med samma månad föregående år. Under månaden föddes 134 barn och 97 personer avled (födelsenetto +37). Samtidigt var kommunens totala flyttnetto +61 personer.;I februari 2023 uppgick folkmängden i Linköping till 166 794. Det innebär en förändring med +96 personer jämfört med föregående månad  och +1321 personer jämfört med samma månad föregående år. Under månaden föddes 134 barn och 97 personer avled (födelsenetto +37). Samtidigt var kommunens totala flyttnetto +61 personer.;A
2023;3;Befolkning;I mars 2023 uppgick folkmängden i Linköping till 166 923. Det innebär en förändring med +129 personer jämfört med föregående månad  och +1366 personer jämfört med samma månad föregående år. Under månaden föddes 137 barn och 113 personer avled (födelsenetto +24). Samtidigt var kommunens totala flyttnetto +67 personer.;I mars 2023 uppgick folkmängden i Linköping till 166 923. Det innebär en förändring med +129 personer jämfört med föregående månad  och +1366 personer jämfört med samma månad föregående år. Under månaden föddes 137 barn och 113 personer avled (födelsenetto +24). Samtidigt var kommunens totala flyttnetto +67 personer.;A
2023;4;Befolkning;I april 2023 uppgick folkmängden i Linköping till 167 001. Det innebär en förändring med +78 personer jämfört med föregående månad  och +1405 personer jämfört med samma månad föregående år. Under månaden föddes 151 barn och 103 personer avled (födelsenetto +48). Samtidigt var kommunens totala flyttnetto +21 personer.;I april 2023 uppgick folkmängden i Linköping till 167 001. Det innebär en förändring med +78 personer jämfört med föregående månad  och +1405 personer jämfört med samma månad föregående år. Under månaden föddes 151 barn och 103 personer avled (födelsenetto +48). Samtidigt var kommunens totala flyttnetto +21 personer.;A
2023;5;Befolkning;I maj 2023 uppgick folkmängden i Linköping till 166 999. Det innebär en förändring med -2 personer jämfört med föregående månad  och +1419 personer jämfört med samma månad föregående år. Under månaden föddes 124 barn och 88 personer avled (födelsenetto +36). Samtidigt var kommunens totala flyttnetto -24 personer.;I maj 2023 uppgick folkmängden i Linköping till 166 999. Det innebär en förändring med -2 personer jämfört med föregående månad  och +1419 personer jämfört med samma månad föregående år. Under månaden föddes 124 barn och 88 personer avled (födelsenetto +36). Samtidigt var kommunens totala flyttnetto -24 personer.;A
2023;6;Befolkning;I juni 2023 uppgick folkmängden i Linköping till 166 559. Det innebär en förändring med -440 personer jämfört med föregående månad  och +1526 personer jämfört med samma månad föregående år. Under månaden föddes 153 barn och 101 personer avled (födelsenetto +52). Samtidigt var kommunens totala flyttnetto -485 personer.;I juni 2023 uppgick folkmängden i Linköping till 166 559. Det innebär en förändring med -440 personer jämfört med föregående månad  och +1526 personer jämfört med samma månad föregående år. Under månaden föddes 153 barn och 101 personer avled (födelsenetto +52). Samtidigt var kommunens totala flyttnetto -485 personer.;A
2023;7;Befolkning;I juli 2023 uppgick folkmängden i Linköping till 166 261. Det innebär en förändring med -298 personer jämfört med föregående månad  och +1493 personer jämfört med samma månad föregående år. Under månaden föddes 117 barn och 97 personer avled (födelsenetto +20). Samtidigt var kommunens totala flyttnetto -312 personer.;I juli 2023 uppgick folkmängden i Linköping till 166 261. Det innebär en förändring med -298 personer jämfört med föregående månad  och +1493 personer jämfört med samma månad föregående år. Under månaden föddes 117 barn och 97 personer avled (födelsenetto +20). Samtidigt var kommunens totala flyttnetto -312 personer.;A
2023;8;Befolkning;I augusti 2023 uppgick folkmängden i Linköping till 167 311. Det innebär en förändring med +1050 personer jämfört med föregående månad  och +1530 personer jämfört med samma månad föregående år. Under månaden föddes 131 barn och 98 personer avled (födelsenetto +33). Samtidigt var kommunens totala flyttnetto +1025 personer.;I augusti 2023 uppgick folkmängden i Linköping till 167 311. Det innebär en förändring med +1050 personer jämfört med föregående månad  och +1530 personer jämfört med samma månad föregående år. Under månaden föddes 131 barn och 98 personer avled (födelsenetto +33). Samtidigt var kommunens totala flyttnetto +1025 personer.;A
2023;9;Befolkning;I september 2023 uppgick folkmängden i Linköping till 167 457. Det innebär en förändring med +146 personer jämfört med föregående månad  och +1245 personer jämfört med samma månad föregående år. Under månaden föddes 135 barn och 99 personer avled (födelsenetto +36). Samtidigt var kommunens totala flyttnetto +86 personer.;I september 2023 uppgick folkmängden i Linköping till 167 457. Det innebär en förändring med +146 personer jämfört med föregående månad  och +1245 personer jämfört med samma månad föregående år. Under månaden föddes 135 barn och 99 personer avled (födelsenetto +36). Samtidigt var kommunens totala flyttnetto +86 personer.;A
2023;10;Befolkning;I oktober 2023 uppgick folkmängden i Linköping till 167 554. Det innebär en förändring med +97 personer jämfört med föregående månad  och +1058 personer jämfört med samma månad föregående år. Under månaden föddes 125 barn och 95 personer avled (födelsenetto +30). Samtidigt var kommunens totala flyttnetto +58 personer.;I oktober 2023 uppgick folkmängden i Linköping till 167 554. Det innebär en förändring med +97 personer jämfört med föregående månad  och +1058 personer jämfört med samma månad föregående år. Under månaden föddes 125 barn och 95 personer avled (födelsenetto +30). Samtidigt var kommunens totala flyttnetto +58 personer.;A
2023;11;Befolkning;I november 2023 uppgick folkmängden i Linköping till 167 524. Det innebär en förändring med -30 personer jämfört med föregående månad  och +937 personer jämfört med samma månad föregående år. Under månaden föddes 118 barn och 111 personer avled (födelsenetto +7). Samtidigt var kommunens totala flyttnetto -21 personer.;I november 2023 uppgick folkmängden i Linköping till 167 524. Det innebär en förändring med -30 personer jämfört med föregående månad  och +937 personer jämfört med samma månad föregående år. Under månaden föddes 118 barn och 111 personer avled (födelsenetto +7). Samtidigt var kommunens totala flyttnetto -21 personer.;A
2023;12;Befolkning;I december 2023 uppgick folkmängden i Linköping till 167 404. Det innebär en förändring med -120 personer jämfört med föregående månad  och +731 personer jämfört med samma månad föregående år. Under månaden föddes 109 barn och 120 personer avled (födelsenetto -11). Samtidigt var kommunens totala flyttnetto -98 personer.;I december 2023 uppgick folkmängden i Linköping till 167 404. Det innebär en förändring med -120 personer jämfört med föregående månad  och +731 personer jämfört med samma månad föregående år. Under månaden föddes 109 barn och 120 personer avled (födelsenetto -11). Samtidigt var kommunens totala flyttnetto -98 personer.;A
2023;1;Flyttning;Under januari 2023 registrerades 856 inflyttningar till Linköping och 822 utflyttningar. Detta gav ett flyttnetto på +34 personer för månaden. Jämfört med samma månad föregående år innebär det en förändring av inflyttningen med +80 personer och utflyttningen med -1 personer.;Under januari 2023 registrerades 856 inflyttningar till Linköping och 822 utflyttningar. Detta gav ett flyttnetto på +34 personer för månaden. Jämfört med samma månad föregående år innebär det en förändring av inflyttningen med +80 personer och utflyttningen med -1 personer.;A
2023;2;Flyttning;Under februari 2023 registrerades 594 inflyttningar till Linköping och 533 utflyttningar. Detta gav ett flyttnetto på +61 personer för månaden. Jämfört med samma månad föregående år innebär det en förändring av inflyttningen med -27 personer och utflyttningen med -130 personer.;Under februari 2023 registrerades 594 inflyttningar till Linköping och 533 utflyttningar. Detta gav ett flyttnetto på +61 personer för månaden. Jämfört med samma månad föregående år innebär det en förändring av inflyttningen med -27 personer och utflyttningen med -130 personer.;A
2023;3;Flyttning;Under mars 2023 registrerades 611 inflyttningar till Linköping och 544 utflyttningar. Detta gav ett flyttnetto på +67 personer för månaden. Jämfört med samma månad föregående år innebär det en förändring av inflyttningen med +4 personer och utflyttningen med -17 personer.;Under mars 2023 registrerades 611 inflyttningar till Linköping och 544 utflyttningar. Detta gav ett flyttnetto på +67 personer för månaden. Jämfört med samma månad föregående år innebär det en förändring av inflyttningen med +4 personer och utflyttningen med -17 personer.;A
2023;4;Flyttning;Under april 2023 registrerades 519 inflyttningar till Linköping och 498 utflyttningar. Detta gav ett flyttnetto på +21 personer för månaden. Jämfört med samma månad föregående år innebär det en förändring av inflyttningen med +11 personer och utflyttningen med -61 personer.;Under april 2023 registrerades 519 inflyttningar till Linköping och 498 utflyttningar. Detta gav ett flyttnetto på +21 personer för månaden. Jämfört med samma månad föregående år innebär det en förändring av inflyttningen med +11 personer och utflyttningen med -61 personer.;A
2023;5;Flyttning;Under maj 2023 registrerades 529 inflyttningar till Linköping och 553 utflyttningar. Detta gav ett flyttnetto på -24 personer för månaden. Jämfört med samma månad föregående år innebär det en förändring av inflyttningen med -32 personer och utflyttningen med -64 personer.;Under maj 2023 registrerades 529 inflyttningar till Linköping och 553 utflyttningar. Detta gav ett flyttnetto på -24 personer för månaden. Jämfört med samma månad föregående år innebär det en förändring av inflyttningen med -32 personer och utflyttningen med -64 personer.;A
2023;6;Flyttning;Under juni 2023 registrerades 792 inflyttningar till Linköping och 1277 utflyttningar. Detta gav ett flyttnetto på -485 personer för månaden. Jämfört med samma månad föregående år innebär det en förändring av inflyttningen med +87 personer och utflyttningen med +4 personer.;Under juni 2023 registrerades 792 inflyttningar till Linköping och 1277 utflyttningar. Detta gav ett flyttnetto på -485 personer för månaden. Jämfört med samma månad föregående år innebär det en förändring av inflyttningen med +87 personer och utflyttningen med +4 personer.;A
2023;7;Flyttning;Under juli 2023 registrerades 651 inflyttningar till Linköping och 963 utflyttningar. Detta gav ett flyttnetto på -312 personer för månaden. Jämfört med samma månad föregående år innebär det en förändring av inflyttningen med -21 personer och utflyttningen med -29 personer.;Under juli 2023 registrerades 651 inflyttningar till Linköping och 963 utflyttningar. Detta gav ett flyttnetto på -312 personer för månaden. Jämfört med samma månad föregående år innebär det en förändring av inflyttningen med -21 personer och utflyttningen med -29 personer.;A
2023;8;Flyttning;Under augusti 2023 registrerades 2433 inflyttningar till Linköping och 1408 utflyttningar. Detta gav ett flyttnetto på +1025 personer för månaden. Jämfört med samma månad föregående år innebär det en förändring av inflyttningen med -18 personer och utflyttningen med -39 personer.;Under augusti 2023 registrerades 2433 inflyttningar till Linköping och 1408 utflyttningar. Detta gav ett flyttnetto på +1025 personer för månaden. Jämfört med samma månad föregående år innebär det en förändring av inflyttningen med -18 personer och utflyttningen med -39 personer.;A
2023;9;Flyttning;Under september 2023 registrerades 995 inflyttningar till Linköping och 909 utflyttningar. Detta gav ett flyttnetto på +86 personer för månaden. Jämfört med samma månad föregående år innebär det en förändring av inflyttningen med -201 personer och utflyttningen med +117 personer.;Under september 2023 registrerades 995 inflyttningar till Linköping och 909 utflyttningar. Detta gav ett flyttnetto på +86 personer för månaden. Jämfört med samma månad föregående år innebär det en förändring av inflyttningen med -201 personer och utflyttningen med +117 personer.;A
2023;10;Flyttning;Under oktober 2023 registrerades 717 inflyttningar till Linköping och 659 utflyttningar. Detta gav ett flyttnetto på +58 personer för månaden. Jämfört med samma månad föregående år innebär det en förändring av inflyttningen med -89 personer och utflyttningen med +47 personer.;Under oktober 2023 registrerades 717 inflyttningar till Linköping och 659 utflyttningar. Detta gav ett flyttnetto på +58 personer för månaden. Jämfört med samma månad föregående år innebär det en förändring av inflyttningen med -89 personer och utflyttningen med +47 personer.;A
2023;11;Flyttning;Under november 2023 registrerades 593 inflyttningar till Linköping och 614 utflyttningar. Detta gav ett flyttnetto på -21 personer för månaden. Jämfört med samma månad föregående år innebär det en förändring av inflyttningen med -29 personer och utflyttningen med +29 personer.;Under november 2023 registrerades 593 inflyttningar till Linköping och 614 utflyttningar. Detta gav ett flyttnetto på -21 personer för månaden. Jämfört med samma månad föregående år innebär det en förändring av inflyttningen med -29 personer och utflyttningen med +29 personer.;A
2023;12;Flyttning;Under december 2023 registrerades 507 inflyttningar till Linköping och 605 utflyttningar. Detta gav ett flyttnetto på -98 personer för månaden. Jämfört med samma månad föregående år innebär det en förändring av inflyttningen med -145 personer och utflyttningen med +51 personer.;Under december 2023 registrerades 507 inflyttningar till Linköping och 605 utflyttningar. Detta gav ett flyttnetto på -98 personer för månaden. Jämfört med samma månad föregående år innebär det en förändring av inflyttningen med -145 personer och utflyttningen med +51 personer.;A
2024;1;Befolkning;I januari 2024 uppgick folkmängden i Linköping till 167 377. Det innebär en förändring med -27 personer jämfört med föregående månad  och +679 personer jämfört med samma månad föregående år. Under månaden föddes 136 barn och 140 personer avled (födelsenetto -4). Samtidigt var kommunens totala flyttnetto -32 personer.;I januari 2024 uppgick folkmängden i Linköping till 167 377. Det innebär en förändring med -27 personer jämfört med föregående månad  och +679 personer jämfört med samma månad föregående år. Under månaden föddes 136 barn och 140 personer avled (födelsenetto -4). Samtidigt var kommunens totala flyttnetto -32 personer.;A
