Nr,Rent_Namn,Målvakt,Nationalitet,Alias,Född,Avled,Klubb,Tid,Mat,Mål,Anteckningar
7170,AFONSO ALVES,Nej,BRA,A.ALVES MARTINS JUNIOR,1981-01-30,,ÖRGRYTE IS,2002-2003,39,23,
7170,AFONSO ALVES,Nej,BRA,A.ALVES MARTINS JUNIOR,1981-01-30,,MALMÖ FF,2004-2006,55,29,
9950,"AGA, OSCAR",Nej,NOR,,2001-01-06,,IF ELFSBORG,2022,13,2,
8456,"AGANOVIC, ADMIR",Nej,BIH,,1986-08-25,,SYRIANSKA FC,2012,25,4,
7011,"AGANOVIC, VEDAD",Nej,BIH,,1979-09-16,,IF ELFSBORG,2001,1,0,
8437,"AGARDIUS, VIKTOR",Nej,SWE,,1989-10-23,,MJÄLLBY AIF,2012-2020,103,1,
8437,"AGARDIUS, VIKTOR",Nej,SWE,,1989-10-23,,KALMAR FF,2015-2019,102,1,
8437,"AGARDIUS, VIKTOR",Nej,SWE,,1989-10-23,,IFK NORRKÖPING,2021-2022,37,1,
8437,"AGARDIUS, VIKTOR",Nej,SWE,,1989-10-23,,IF BROMMAPOJKARNA,2023,2,0,
8323,"AGBOSSOUMONDE, GALE",Nej,USA/TOG,,1991-11-17,,DJURGÅRDENS IF,2011,8,0,
8170,"AGEBJÖRN, ANTON",Nej,SWE,,1994-03-04,,KALMAR FF,2013,3,0,
8327,"AGGER, NIKOLAJ",Nej,DAN,,1988-10-23,,DJURGÅRDENS IF,2011,7,1,
4412,"AGNETOFT, LARS",Ja,SWE,,1947-05-15,,IF SAAB,1973,25,0,
3058,"AGNROTH, STIG",Nej,SWE,,1928-12-10,1998-10-21,NORRBY IF,1956,1,0,
7415,"AGUIAR, FERNANDO",Nej,KAN,,1972-03-18,,LANDSKRONA BoIS,2004,1,0,KAN/POR
4413,"AHL, KENNETH",Nej,SWE,,1952-04-02,,IF SAAB,1973,25,1,
9461,"AHL HOLMSTRÖM, ALEXANDER",Nej,SWE,,1999-04-04,,KALMAR FF,2018-2020,25,1,
4932,"AHLBERG, ANDERS",Nej,SWE,,1953-09-23,,IFK GÖTEBORG,1978-1979,30,5,
2226,"AHLBERG, CARL",Nej,SWE,,1905-12-01,1962-01-23,MALMÖ FF,1932,13,1,
3035,"AHLBERG, LARS-ERIK",Nej,SWE,NAPPE,1934-06-05,,HELSINGBORGS IF,1955-1966,251,25,
4957,"AHLBERG, PETER",Nej,SWE,,1958-05-11,,IS HALMIA,1979,1,0,
5592,"AHLBOM, JAN",Nej,SWE,,1968-07-22,,VÄSTRA FRÖLUNDA IF,1988-1995,83,2,
3731,"AHLFELDT, LARS",Ja,SWE,,1943-12-04,,MALMÖ FF,1966,3,0,
2398,"AHLGREN, INGEMAR",Nej,SWE,,1912-07-07,1982-10-31,ÖRGRYTE IS,1940,1,0,
4976,"AHLGREN, THOMAS",Nej,SWE,,1960-05-21,,KALMAR FF,1979-1980,9,0,
9917,"AHLIN, AUGUST",Ja,SWE,,1997-04-06,,IK SIRIUS,2021,9,0,
3012,"AHLIN, BENGT",Nej,SWE,BROSKET,1932-08-05,2002-06-22,IFK ESKILSTUNA,1958,27,2,
4375,"AHLINDER, INGVAR",Nej,SWE,BRÅTEN,1950-02-18,,BRYNÄS IF,1974,19,2,
3712,"AHLNANDER, ULF",Nej,SWE,,1944-03-22,,IK BRAGE,1966,7,0,FR BODEN
1096,"AHLSIN, ERIK",Ja,SWE,,1902-08-14,1968-12-30,ÖRGRYTE IS,1928,1,0,
