Nr,Rent_Namn,Målvakt,Nationalitet,Alias,Född,Avled,Klubb,Tid,Mat,Mål,Anteckningar
3119,"CLACK, CONNY",Nej,SWE,,1940-06-06,2011-02-25,GIF SUNDSVALL,1965,22,2,
3119,"CLACK, CONNY",Nej,SWE,,1940-06-06,2011-02-25,IFK SUNDSVALL,1976,22,3,
3116,"CLAESSON, CARL-OLOV",Nej,SWE,,1924-05-07,2009-02-10,JÖNKÖPINGS SÖDRA IF,1952-1954,39,10,FR/T NORRAH 55
7495,"CLAESSON, JOHAN",Nej,SWE,,1981-08-12,,GEFLE IF,2005-2008,97,3,
5357,"CLAESSON, JONAS",Nej,SWE,,1967-07-29,,DJURGÅRDENS IF,1989-1992,22,0,
3790,"CLAESSON, LEIF",Nej,SWE,SKARA,1940-12-17,2021-11-29,IFK GÖTEBORG,1965-1967,23,13,
3790,"CLAESSON, LEIF",Nej,SWE,SKARA,1940-12-17,2021-11-29,DJURGÅRDENS IF,1969-1970,4,0,
7727,"CLAESSON, MARTIN",Nej,SWE,,1983-09-20,,ÖSTERS IF,2006,3,0,
6356,"CLAESSON, NILS-ÅKE",Nej,SWE,SVINTO,1967-08-17,,UMEÅ FC,1996,24,1,
3115,"CLAESSON, OLLE",Nej,SWE,OLOF,1929-12-02,2012-07-16,IF ELFSBORG,1952-1954,41,9,
4460,"CLAESSON, PETER",Nej,SWE,,1943-03-07,,HAMMARBY IF,1970-1972,52,8,
5594,"CLAESSON, PETER",Nej,SWE,,1965-09-16,,VÄSTRA FRÖLUNDA IF,1988-1992,49,3,
2462,"CLAESSON, RUNE",Ja,SWE,,1924-02-02,2004-03-06,IFK GÖTEBORG,1943-1947,14,0,EJ 220530
1203,"CLAESSON, THURE",Nej,SWE,,1894-02-26,1975-04-24,IF ELFSBORG,1927-1930,86,31,
7883,"CLAESSON, VIKTOR",Nej,SWE,,1992-01-02,,IF ELFSBORG,2012-2016,134,32,
3118,"CLARIN, INGEMAR",Nej,SWE,,1927-12-30,2016-06-25,SANDVIKENS IF,1956-1960,120,6,"ÖIS 50-54,STRAND,IFK GÄVL"
7296,CLAUDINEI,Nej,BRA,C.DUTRA DE RESENDE,1978-05-27,2004-11-06,HELSINGBORGS IF,2003-2004,9,0,
8036,CLAUDIO,Nej,BRA,LUIS CL.CARV.DA SILVA,1987-03-27,,HAMMARBY IF,2009,5,0,
7569,"CLAUSS, MAX",Nej,SWE,,1989-03-31,,IF BROMMAPOJKARNA,2009,1,0,
8201,CLÉCIO,Nej,BRA,CLÉCIO NASCIMENTO SANTOS,1988-05-31,,AIK,2010,3,0,
5441,"CLOSE, SHAUN",Nej,ENG,,1966-09-08,,HALMSTADS BK,1986,13,3,
8069,"COE, NATHAN",Ja,AUS,,1984-06-01,,ÖRGRYTE IS,2009,5,0,
9896,"COLAK, ANTONIO",Nej,KRO,,1993-09-17,,MALMÖ FF,2021,26,14,
9643,"COLKETT, CHARLIE",Nej,ENG,,1993-06-16,,ÖSTERSUNDS FK,2019-2021,64,1,
9263,"COLLANDER, DENNIS",Nej,SWE,,2002-05-09,,ÖREBRO SK,2020-2021,36,2,
9263,"COLLANDER, DENNIS",Nej,SWE,,2002-05-09,,HAMMARBY IF,2022,5,0,
8604,"COLLEY, JOSEPH",Nej,SWE,,1999-04-13,,IK SIRIUS,2021,23,0,
8930,"COLLEY, OMAR",Nej,GAM,,1992-10-24,,DJURGÅRDENS IF,2015-2016,44,5,
9969,"CONCHA, DAVID",Nej,SPA,,1996-11-20,,HAMMARBY IF,2022,13,0,
7027,"CONCHA, MATIAS",Nej,SWE,,1980-03-31,,MALMÖ FF,2001-2014,56,0,
7027,"CONCHA, MATIAS",Nej,SWE,,1980-03-31,,DJURGÅRDENS IF,2004-2007,76,2,
2465,"CONNMAN, ELOV",Ja,SWE,NITTA,1920-12-15,1959-05-29,IK SLEIPNER,1941,2,0,
3794,"CONNMAN, JAN",Ja,SWE,,1942-10-26,,IFK NORRKÖPING,1967,7,0,
9865,"COOPER LOVE, JACK",Nej,SWE,,2001-12-25,,IF ELFSBORG,2021-2023,19,1,
9865,"COOPER LOVE, JACK",Nej,SWE,,2001-12-25,,HALMSTADS BK,2023,16,2,
1204,"CORALL, AXEL",Nej,SWE,,1896-04-09,1975-10-20,IK SLEIPNER,1925-1926,27,0,EM USA
4938,"CORNELIUSSON, DAN",Nej,SWE,,1961-10-02,,IFK GÖTEBORG,1979-1983,62,29,
4938,"CORNELIUSSON, DAN",Nej,SWE,,1961-10-02,,MALMÖ FF,1990-1992,36,9,
5942,"CORNELIUSSON, KARL",Nej,SWE,,1976-11-17,,ÖRGRYTE IS,1996-1998,56,1,
5942,"CORNELIUSSON, KARL",Nej,SWE,,1976-11-17,,AIK,1999-2003,98,7,
5942,"CORNELIUSSON, KARL",Nej,SWE,,1976-11-17,,LANDSKRONA BoIS,2005,7,1,
9861,"CORNIC, LEO",Nej,NOR,,2001-01-02,,DJURGÅRDENS IF,2021-2022,12,0,
8605,"COSIC, MARIJAN",Nej,SWE,,1996-05-31,,IF BROMMAPOJKARNA,2023,24,2,
7308,"COSTA, RICARDO",Nej,BRA,TITI,1982-06-17,,ÖREBRO SK,2003-2004,32,7,R.MION VARELLA COSTA
7736,"COUNTESS, DELVIN",Ja,USA,DJ,1982-01-09,,ÖSTERS IF,2006,3,0,
6637,"COVARRUBIAS, CLAUDIO",Nej,CHI,,1979-12-12,,VÄSTRA FRÖLUNDA IF,1998,4,0,
7130,"COVIC, ANTE",Ja,AUS,,1975-06-13,,HAMMARBY IF,2002-2006,121,0,
7130,"COVIC, ANTE",Ja,AUS,,1975-06-13,,IF ELFSBORG,2009-2011,59,0,
8519,"CRAMER, LARS",Ja,NOR,,1991-05-25,,KALMAR FF,2013-2015,49,0,
1945,"CRATZ, LAGE",Nej,SWE,,1906-03-12,2001-02-18,IK SLEIPNER,1930-1933,19,5,
3793,"CRATZ, THOMAS",Nej,SWE,,1946-08-30,,IFK NORRKÖPING,1969,1,0,
5313,"CRNALIC, ISMET",Nej,JUG,,1962-07-16,,IK BRAGE,1986,4,0,BOSNIER
8877,"CRONA, EDVIN",Nej,SWE,,2000-01-25,,KALMAR FF,2017-2020,28,2,
3789,"CRONQVIST, CLAES",Nej,SWE,,1944-10-15,,DJURGÅRDENS IF,1966-1970,104,30,
3789,"CRONQVIST, CLAES",Nej,SWE,,1944-10-15,,LANDSKRONA BoIS,1971-1980,234,23,
2459,"CRONQVIST, KJELL",Ja,SWE,,1920-12-20,2008-02-09,IK BRAGE,1940-1944,39,0,
2459,"CRONQVIST, KJELL",Ja,SWE,,1920-12-20,2008-02-09,DJURGÅRDENS IF,1946-1953,37,0,
9731,"CRONVALL, RASMUS",Nej,SWE,,2002-03-20,,VARBERGS BOIS,2020,6,0,
7287,"CROSSA, MARTIN",Nej,URU/ARG,,1977-02-02,,IFK GÖTEBORG,2003,10,0,NELSON M.C.SILVEIRA
4980,"CSIRMAZ, PETER",Nej,SWE,,1958-04-15,,LANDSKRONA BoIS,1978,4,0,
6044,"CULA, SLAVISA",Nej,JUG,,1968-11-28,,ÖRGRYTE IS,1993,4,0,SKV
9610,"CURCI, GIANLUCA",Ja,IT,,1985-07-12,,HAMMARBY IF,2019,12,0,
5238,"CURRAN, TERRY",Nej,ENG,,1955-03-20,,ÅTVIDABERGS FF,1980,9,1,EG EDWARD
5865,"CVITKUSIC, IVICA",Nej,BIH,,1964-09-08,,DJURGÅRDENS IF,1992,15,1,
2464,"CÖSTER, INGVAR",Nej,SWE,,1927-01-26,2015-03-15,LANDSKRONA BoIS,1949,4,0,GLASÖGON
8606,"DA GRACA, KRISTOPHER",Nej,SWE,,1998-01-16,,IFK GÖTEBORG,2017-2020,51,0,
8606,"DA GRACA, KRISTOPHER",Nej,SWE,,1998-01-16,,IK SIRIUS,2022-2023,30,0,
8259,"DA SILVA, ALBERIS",Nej,BRA,,1984-12-02,,ÅTVIDABERGS FF,2010-2015,92,1,
6896,"DA SILVA, MARCO",Nej,SWE,,1982-05-08,,ENKÖPINGS SK,2003,26,0,
6896,"DA SILVA, MARCO",Nej,SWE,,1982-05-08,,ÖSTERS IF,2006,25,2,
7937,"DADOMO, CLAUDIO",Nej,URU,,1982-02-10,,HAMMARBY IF,2008,8,1,C.MARTIN D.MINERVINI
8607,"DAGERSTÅL, FILIP",Nej,SWE,,1997-02-01,,IFK NORRKÖPING,2014-2022,143,6,EV GULD 2015
0384,"DAHAN, RICKARD",Nej,SWE,,1967-10-20,,LANDSKRONA BoIS,1994,24,1,
9813,"DAHBO, PONTUS",Nej,SWE,,2005-10-11,,BK HÄCKEN,2023,20,4,
1024,"DAHL, ALBIN",Nej,SWE,ABBE,1900-01-02,1980-02-15,HELSINGBORGS IF,1925-1933,161,107,
6803,"DAHL, ANDREAS",Nej,SWE,,1984-06-06,,HELSINGBORGS IF,2002-2007,111,7,
6803,"DAHL, ANDREAS",Nej,SWE,,1984-06-06,,HAMMARBY IF,2009,15,2,
3124,"DAHL, BERTIL",Nej,SWE,,1930-06-02,2015-05-17,IFK MALMÖ,1953-1962,157,2,S/T TOMELILLA 63
1745,"DAHL, GÖSTA",Nej,SWE,,1914-05-10,1998-08-06,IF ELFSBORG,1936-1943,110,2,SEN IFK VÄSTERÅS 43
1751,"DAHL, GÖTE",Nej,SWE,,1909-01-11,1976-05-25,MALMÖ FF,1932-1938,50,14,
1025,"DAHL, HARRY",Nej,SWE,HACKE,1902-06-25,1986-12-02,LANDSKRONA BoIS,1925-1933,173,90,
6606,"DAHL, HENRIK",Nej,SWE,,1975-05-01,,BK HÄCKEN,1998-2001,70,1,EM NORGE
6606,"DAHL, HENRIK",Nej,SWE,,1975-05-01,,GAIS,2007,3,0,
1752,"DAHL, HENRY",Nej,SWE,,1905-12-05,1962-03-25,MALMÖ FF,1932-1933,31,0,
9514,"DAHL, SAMUEL",Nej,SWE,,2003-03-04,,DJURGÅRDENS IF,2023,13,0,
2474,"DAHL, STEN",Nej,SWE,,1915-10-17,1993-12-25,ÖREBRO SK,1947-1949,23,0,
1746,"DAHL, THURE",Nej,SWE,,1913-07-27,1996-04-10,GÅRDA BK,1938-1940,35,4,FR VIRGO
1205,"DAHLBERG, ERIK",Nej,SWE,BAGARN,1901-12-08,1962-03-27,IFK UDDEVALLA,1926-1927,37,4,
3795,"DAHLBERG, LENNART",Nej,SWE,,1938-05-25,2001-11-20,IFK GÖTEBORG,1960-1963,61,0,
6972,"DAHLBERG, MIKAEL",Nej,SWE,,1985-03-06,,GIF SUNDSVALL,2004-2005,39,7,
6972,"DAHLBERG, MIKAEL",Nej,SWE,,1985-03-06,,DJURGÅRDENS IF,2007-2009,73,6,
6972,"DAHLBERG, MIKAEL",Nej,SWE,,1985-03-06,,GEFLE IF,2010-2013,109,20,
6972,"DAHLBERG, MIKAEL",Nej,SWE,,1985-03-06,,HELSINGBORGS IF,2014-2016,40,11,
8608,"DAHLBERG, PONTUS",Ja,SWE,,1999-01-21,,IFK GÖTEBORG,2017-2023,67,0,
8608,"DAHLBERG, PONTUS",Ja,SWE,,1999-01-21,,BK HÄCKEN,2020-2021,22,0,
1636,"DAHLÉN, ANDREAS",Nej,SWE,,1982-12-11,,GEFLE IF,2007-2009,59,1,
1636,"DAHLÉN, ANDREAS",Nej,SWE,,1982-12-11,,DJURGÅRDENS IF,2012,19,0,
1636,"DAHLÉN, ANDREAS",Nej,SWE,,1982-12-11,,ÅTVIDABERGS FF,2013-2015,65,1,
1747,"DAHLÉN, HANS",Nej,SWE,,1918-05-25,1992-02-27,GÅRDA BK,1939-1940,10,1,FR SKÖVDE 39
2467,"DAHLGREN, EGON",Nej,SWE,,1920-08-24,2001-08-29,IF ELFSBORG,1944-1950,73,2,
4983,"DAHLGREN, GERT",Nej,SWE,,1954-08-02,,LANDSKRONA BoIS,1979,15,0,
2471,"DAHLGREN, GUNNAR",Nej,SWE,BOBBY,1922-09-04,2013-04-01,LANDSKRONA BoIS,1945-1949,17,0,
5452,"DAHLGREN, JONAS",Nej,SWE,,1966-02-17,,HALMSTADS BK,1989,18,6,
5452,"DAHLGREN, JONAS",Nej,SWE,,1966-02-17,,HELSINGBORGS IF,1993-1995,71,18,
5452,"DAHLGREN, JONAS",Nej,SWE,,1966-02-17,,TRELLEBORGS FF,1996,15,2,
4469,"DAHLGREN, KENNETH",Nej,SWE,,1948-09-26,,LANDSKRONA BoIS,1971-1974,44,0,
7302,"DAHLGREN, MIKAEL",Nej,SWE,,1984-07-19,,LANDSKRONA BoIS,2003-2004,3,0,
7302,"DAHLGREN, MIKAEL",Nej,SWE,,1984-07-19,,GAIS,2009,11,0,
3120,"DAHLGREN, OLLE",Nej,SWE,PER-OLOF,1933-11-12,2017-05-02,IF ELFSBORG,1952-1954,10,1,
4467,"DAHLHEILM, BENNY",Nej,SWE,,1950-12-13,,HAMMARBY IF,1970-1973,16,0,
7362,"DAHLIN, ERIK",Ja,SWE,,1989-04-28,,IFK GÖTEBORG,2010-2018,42,0,
3125,"DAHLIN, HANS",Nej,SWE,,1926-12-16,2003-03-18,IFK MALMÖ,1953,15,1,
7604,"DAHLIN, JOHAN",Ja,SWE,,1986-09-08,,TRELLEBORGS FF,2008,14,0,
7604,"DAHLIN, JOHAN",Ja,SWE,,1986-09-08,,MALMÖ FF,2009-2023,250,0,
7037,"DAHLIN, MARCUS",Nej,SWE,,1982-03-16,,ÖRGRYTE IS,2001-2006,79,0,
5507,"DAHLIN, MARTIN",Nej,SWE,DALLE,1968-04-16,,MALMÖ FF,1988-1991,79,39,
6346,"DAHLIN, STEFAN",Ja,SWE,TARZAN,1960-12-10,,IK ODDEVOLD,1996,1,0,
4464,"DAHLKVIST, SVEN",Nej,SWE,DALA,1955-05-30,,AIK,1975-1987,256,38,
4464,"DAHLKVIST, SVEN",Nej,SWE,DALA,1955-05-30,,ÖREBRO SK,1989-1992,79,6,
1753,"DAHLKVIST, TOR",Nej,SWE,TORE BULLEN,1906-03-13,1964-02-24,IFK NORRKÖPING,1936,6,0,"EJ S.DAHLSTRÖM,OLLE"
6341,"DAHLMAN, ANDREAS",Nej,SWE,,1972-07-21,,IK ODDEVOLD,1996,18,1,
5582,"DAHLMAN, PÄR",Nej,SWE,,1961-11-13,,VÄSTRA FRÖLUNDA IF,1987-1989,56,1,
3126,"DAHLQUIST, BENGT",Nej,SWE,,1931-11-13,2020-07-19,NORRBY IF,1956,20,1,
9089,"DAHLQVIST, EDVIN",Nej,SWE,,1999-06-14,,IFK GÖTEBORG,2019,1,0,"BR HAMPUS, ISAK"
9264,"DAHLQVIST, ISAK",Nej,SWE,,2001-09-25,,IFK GÖTEBORG,2020-2021,4,0,"BR HAMPUS, EDVIN"
6043,"DAHLQVIST, MAGNUS",Nej,SWE,,1974-03-12,,ÖRGRYTE IS,1993,5,0,
6043,"DAHLQVIST, MAGNUS",Nej,SWE,,1974-03-12,,VÄSTRA FRÖLUNDA IF,1999-2000,43,0,
4472,"DAHLQVIST, PETER",Nej,SWE,,1956-01-12,,ÖRGRYTE IS,1971-1983,110,21,EM TYSKL
3800,"DAHLQVIST, ROLF",Nej,SWE,DALA,1942-09-26,1996-09-05,SANDVIKENS IF,1960-1961,19,2,T SAIK 63
2469,"DAHLQVIST, TAGE",Nej,SWE,,1922-08-08,1977-03-13,IS HALMIA,1944-1945,6,0,ÖIS 40-47 34/11
1028,"DAHLSKOG, JOHN",Nej,SWE,,1902-07-26,1960-04-19,IK SLEIPNER,1925-1933,144,0,
8353,"DAHLSTRÖM, ANTON",Nej,SWE,,1990-08-27,,MJÄLLBY AIF,2011-2014,30,1,
1206,"DAHLSTRÖM, ERIK",Nej,SWE,,1894-06-26,1953-10-30,IFK ESKILSTUNA,1925-1928,35,8,
3123,"DAHLSTRÖM, EVERT",Nej,SWE,,1932-11-01,2023-09-07,KALMAR FF,1955,6,0,FR KALMAR AIK
5883,"DAHLSTRÖM, FREDRIK",Nej,SWE,,1971-11-01,,MALMÖ FF,1992-1995,60,11,
5883,"DAHLSTRÖM, FREDRIK",Nej,SWE,,1971-11-01,,DJURGÅRDENS IF,1996-1999,41,8,
1207,"DAHLSTRÖM, JOHN",Ja,SWE,,1904-09-13,1990-11-19,HELSINGBORGS IF,1928-1932,14,0,
2466,"DAHLSTRÖM, NILS",Nej,SWE,,1924-11-30,1990-01-02,IK BRAGE,1944,1,0,
5241,"DAHLSTRÖM, TORBJÖRN",Nej,SWE,,1957-06-05,,ÅTVIDABERGS FF,1981-1982,37,2,
9850,"DAHLSTRÖM, VILLIAM",Nej,SWE,,1997-06-30,,DEGERFORS IF,2021,21,2,
9850,"DAHLSTRÖM, VILLIAM",Nej,SWE,,1997-06-30,,HALMSTADS BK,2023,2,0,
3122,"DALENGÅRD, RUNE",Nej,SWE,DALEN,1925-07-19,1991-05-07,JÖNKÖPINGS SÖDRA IF,1952-1954,53,12,
3127,"DAMBERG, HANS",Nej,SWE,DAMPEN,1932-07-29,2020-05-15,VÄSTERÅS SK,1956-1957,35,0,"FRANKE, IFKV, DINGTUNA"
3802,"DAMBERG, ROLF",Ja,SWE,,1938-05-31,2019-05-06,ÖSTERS IF,1968-1969,23,0,
1750,"DAMBERG, SVEN",Nej,SWE,HETTE,1912-12-16,1986-11-19,HELSINGBORGS IF,1935-1945,110,6,
1748,"DANBO, MATS",Nej,SWE,,1909-11-29,1968-08-23,GÅRDA BK,1938,1,0,
7945,DANIEL SOBRALENSE,Nej,BRA,DANIEL LOPES DA SILVA,1983-02-10,,KALMAR FF,2008-2011,92,19,
7945,DANIEL SOBRALENSE,Nej,BRA,DANIEL LOPES DA SILVA,1983-02-10,,IFK GÖTEBORG,2012-2014,43,4,
7945,DANIEL SOBRALENSE,Nej,BRA,DANIEL LOPES DA SILVA,1983-02-10,,ÖREBRO SK,2014,11,3,
7628,"DANIELSON, MARCUS",Nej,SWE,,1989-04-08,,GIF SUNDSVALL,2012-2017,94,6,
7628,"DANIELSON, MARCUS",Nej,SWE,,1989-04-08,,DJURGÅRDENS IF,2018-2023,94,12,
1023,"DANIELSSON, BIRGER",Nej,SWE,BIRRE DANA,1903-12-13,1967-02-14,DJURGÅRDENS IF,1928-1937,23,2,
1023,"DANIELSSON, BIRGER",Nej,SWE,BIRRE DANA,1903-12-13,1967-02-14,WESTERMALMS IF,1929,18,1,
3801,"DANIELSSON, FREDDY",Nej,SWE,,1948-09-30,,ÖRGRYTE IS,1967-1968,7,0,FR KONGAHÄLLA
4470,"DANIELSSON, HANS",Nej,SWE,,1949-12-06,2020-09-05,IF SAAB,1973,2,0,
7725,"DANIELSSON, HELGI",Nej,ISL,,1981-07-13,,ÖSTERS IF,2006,20,1,
7725,"DANIELSSON, HELGI",Nej,ISL,,1981-07-13,,IF ELFSBORG,2008-2009,52,1,
7725,"DANIELSSON, HELGI",Nej,ISL,,1981-07-13,,AIK,2010-2013,75,2,
2468,"DANIELSSON, HILBERTH",Nej,SWE,,1923-11-04,1966-03-18,GÅRDA BK,1943,1,0,ÖIS 46/47 1M
3798,"DANIELSSON, INGE",Nej,SWE,,1941-06-14,2021-06-30,HELSINGBORGS IF,1967,22,11,
3798,"DANIELSSON, INGE",Nej,SWE,,1941-06-14,2021-06-30,IFK NORRKÖPING,1973,6,0,
6490,"DANIELSSON, MIKAEL",Nej,SWE,,1974-07-08,,TRELLEBORGS FF,1997-2001,80,5,
6490,"DANIELSSON, MIKAEL",Nej,SWE,,1974-07-08,,ÖREBRO SK,2002-2004,73,3,
5329,"DANIELSSON, PER-ERIK",Nej,SWE,,1966-10-03,,IK BRAGE,1989-1990,26,2,
3796,"DANIELSSON, SVEN",Nej,SWE,,1934-10-04,2014-12-21,IFK GÖTEBORG,1961,2,0,FR LIDKÖP BK
3128,"DANSSON, OVE",Nej,SWE,,1926-09-24,2021-05-29,VÄSTERÅS SK,1956-1957,38,3,RAMNÄS IF 63
6351,"DASOVIC, NICK",Nej,KAN/KRO,,1968-12-05,,TRELLEBORGS FF,1996,7,0,
7948,"DAUDA, ABIOLA",Nej,NIG,,1988-02-03,,KALMAR FF,2008-2012,129,33,SWE 2013
7679,"DAVIDS, LANCE",Nej,RSA,,1985-04-11,,DJURGÅRDENS IF,2006-2008,64,6,
9972,"DAVIDSEN, VILJORMUR ÄR",Nej,F,,1991-07-19,,HELSINGBORGS IF,2022,28,0,
4465,"DAVIDSSON, TOMMY",Nej,SWE,,1952-09-09,,DJURGÅRDENS IF,1970-1980,168,0,
5372,"DAVIES, BILLY",Nej,SKO,,1964-05-31,,IF ELFSBORG,1987,18,1,EG WILLIAM
4016,"DAVIES, CHARLIE",Nej,USA,,1986-06-25,,HAMMARBY IF,2007-2009,56,21,
4438,"DE BROEN, ERIK",Nej,SWE,,1946-08-31,,GAIS,1972-1973,27,0,
4453,"DE BROEN, LOUIS",Nej,SWE,LOLO,1949-05-16,,ÖRGRYTE IS,1975-1976,44,1,
9430,"DE JOHN, ALEXANDER",Nej,USA,,1991-05-10,,DALKURD FF,2018,18,2,
9490,"DE SOUSA, FABIO",Nej,BRA,,1996-01-30,,ÖREBRO SK,2018-2020,7,0,
6385,"DE STEFANO, DANIEL",Nej,SWE,,1978-12-04,,ÖSTERS IF,2003,9,0,
7834,"DEDAJ, ANTON",Nej,KRO/ALB,,1980-04-14,,ÖREBRO SK,2007,1,0,
7294,DEDÉ,Nej,BRA,ANDERSON DE OLIV.GOMES,1980-05-26,,HAMMARBY IF,2003,13,8,
7294,DEDÉ,Nej,BRA,ANDERSON DE OLIV.GOMES,1980-05-26,,KALMAR FF,2004-2005,35,16,
8878,"DEGERLUND, MARCUS",Nej,SWE,,1998-03-16,,HAMMARBY IF,2017-2019,23,0,
8878,"DEGERLUND, MARCUS",Nej,SWE,,1998-03-16,,IFK GÖTEBORG,2018,4,0,
2473,"DELBORN, OLLE",Nej,SWE,OLOF,1923-02-20,2005-04-26,IFK NORRKÖPING,1948,1,0,
3797,"DELLBRING, INGVAR",Nej,SWE,,1943-05-10,,IFK HOLMSUND,1967,7,2,
6848,"DEMBA-NYRÉN, NJUGO",Nej,SWE/GHA,,1979-06-26,,BK HÄCKEN,2000-2001,29,4,
7783,"DEMIR, ERDIN",Nej,SWE,,1990-03-27,,TRELLEBORGS FF,2011,29,0,
8364,"DEMIR, ISA",Nej,SWE,,1985-08-10,,SYRIANSKA FC,2011-2013,50,3,
7479,"DEMIR, MELKE",Nej,SWE,,1980-10-27,,ASSYRISKA FF,2005,15,0,
9428,"DEMIRCAN, ABDULAZIZ",Ja,T,,1991-02-05,,DALKURD FF,2018,8,0,
9967,"DEMIROL, ALPER",Nej,SWE,,2002-10-01,,HAMMARBY IF,2022-2023,29,0,
8462,"DEMIRTAS, CHRISTIAN",Nej,TYS,,1984-05-25,,SYRIANSKA FC,2012-2013,18,0,
7264,"DEN OUDEN, GEERT",Nej,NED,,1976-07-24,,DJURGÅRDENS IF,2003-2004,23,13,EG GIJSBERTUS
7942,DENILSON,Nej,BRA,D.LUIS MARQUES DE SOUZA,1988-11-25,,HELSINGBORGS IF,2008,1,0,
4466,"DENNERBY, THOMAS",Nej,SWE,,1959-08-13,,HAMMARBY IF,1977-1985,149,8,
9487,"DEPREM, RODIN",Nej,SWE,,1998-05-23,,ÖREBRO SK,2018-2019,13,0,
1208,"DETTER, OLOF",Nej,SWE,KAMPIS,1899-02-01,1979-01-10,IFK UDDEVALLA,1927,20,9,
7288,"DIALLO, MAMADOU",Nej,SEN,BIG MAMA,1971-08-28,,IFK GÖTEBORG,2003,13,3,
9844,"DIAWARA, ISMAEL",Ja,MALI,,1994-11-11,,DEGERFORS IF,2021,13,0,
9844,"DIAWARA, ISMAEL",Ja,MALI,,1994-11-11,,MALMÖ FF,2021-2023,18,0,
8338,"DIAZ, IVAN",Nej,SPA,,1978-07-10,,HALMSTADS BK,2011,6,0,
8450,"DIBBA, PA",Nej,SWE,,1987-10-15,,GIF SUNDSVALL,2012-2016,69,15,
8450,"DIBBA, PA",Nej,SWE,,1987-10-15,,HAMMARBY IF,2016-2018,47,17,
9266,"DICKMAN, JESPER",Nej,SWE,,2001-04-10,,IFK VÄRNAMO,2022-2023,4,0,
8284,"DIMITRIADIS, PANAJOTIS",Nej,SWE,PANOS,1986-08-12,,IF BROMMAPOJKARNA,2013,25,2,
8284,"DIMITRIADIS, PANAJOTIS",Nej,SWE,PANOS,1986-08-12,,AIK,2014-2020,61,1,
7412,DIOGO,Nej,BRA,D.CORREA DE OLIVEIRA,1983-04-08,2021-06-09,KALMAR FF,2004,9,4,
8432,"DIOUF, PAPA",Nej,SEN,,1989-06-22,,KALMAR FF,2012-2022,172,24,
2470,"DIRENIUS, GOTTFRID",Nej,SWE,JOHANSSON TID.,1920-12-24,1999-06-11,HALMSTADS BK,1945-1955,45,7,SEN IFK RONNEBY
9185,"DISKERUD, MIKKEL",Nej,USA/NOR,MIX,1990-10-02,,IFK GÖTEBORG,2017-2018,41,7,
9185,"DISKERUD, MIKKEL",Nej,USA/NOR,MIX,1990-10-02,,HELSINGBORGS IF,2020,28,2,
7513,"DIXON, JIMMY",Nej,LBR,,1981-10-10,,BK HÄCKEN,2005-2012,47,0,
7513,"DIXON, JIMMY",Nej,LBR,,1981-10-10,,MALMÖ FF,2007-2009,53,1,
8433,"DJORDJEVIC, NENAD",Nej,SER,,1979-08-07,,KALMAR FF,2012-2015,48,2,
6666,"DJORDJIC, BOJAN",Nej,SWE,,1982-02-06,,AIK,2008-2010,44,0,
6666,"DJORDJIC, BOJAN",Nej,SWE,,1982-02-06,,IF BROMMAPOJKARNA,2013,17,0,
5526,"DJORDJIC, RANKO",Nej,JUG,,1957-01-01,,IFK NORRKÖPING,1985-1988,70,12,
6510,"DJUKANOVIC, DRAGAN",Nej,JUG,,1969-10-29,,ÖREBRO SK,1997-1998,14,3,
3121,"DJUPMARK, EVERT",Nej,SWE,,1926-05-06,2012-02-07,IFK ESKILSTUNA,1958,6,0,
8425,"DJURDJIC, NIKOLA",Nej,SER,,1986-04-01,,HELSINGBORGS IF,2012,11,10,
8425,"DJURDJIC, NIKOLA",Nej,SER,,1986-04-01,,MALMÖ FF,2015,12,5,
8425,"DJURDJIC, NIKOLA",Nej,SER,,1986-04-01,,HAMMARBY IF,2018-2019,54,26,
8425,"DJURDJIC, NIKOLA",Nej,SER,,1986-04-01,,DEGERFORS IF,2021-2022,30,4,
6957,"DJURIC, DUSAN",Nej,SWE,DOLLE,1984-09-16,,HALMSTADS BK,2003-2021,117,15,EJ ALLSV 08-20
5987,"DJURIC, IVAN",Nej,SWE,,1966-10-24,,DEGERFORS IF,1993-1996,67,0,
5359,"DODD, ALAN",Nej,ENG,,1953-09-20,,IF ELFSBORG,1986,22,0,
5359,"DODD, ALAN",Nej,ENG,,1953-09-20,,GAIS,1988,10,1,
7147,"DODOO, AFO",Nej,GHA,,1973-11-23,,LANDSKRONA BoIS,2002,6,0,
5973,"DOFS, JONAS",Ja,SWE,,1968-03-04,,IK BRAGE,1993,15,0,
6403,"DOGAN, SIMON",Nej,SWE,,1981-02-01,,IFK NORRKÖPING,1999-2000,7,0,
8544,"DOGBE, EMMANUEL",Nej,GHA,,1992-06-06,,ÅTVIDABERGS FF,2013-2014,9,0,
6985,"DOHLSTEN, MARTIN",Nej,SWE,IDOLEN,1986-04-29,,GAIS,2006-2007,26,2,
6985,"DOHLSTEN, MARTIN",Nej,SWE,IDOLEN,1986-04-29,,ÖRGRYTE IS,2009,11,0,
1209,"DOHLWITZ, RUBEN",Nej,SWE,RUBBE,1902-04-22,1964-11-12,IFK ESKILSTUNA,1927-1928,7,2,
5025,"DONNERBORG, FINN",Nej,DAN,,1946-09-13,,ÅTVIDABERGS FF,1978-1979,32,0,AVESTA AIK 138A
